HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
5012567,NF,A1L,E,2022-08-01,2022,Single Detached,246.4,One storey,2002,B1;P1,1.0,2.1653,8458.8,8.459,25229.5,7008.3,72378.7,20105.4,7008.1,0.0,54.7,0.0,0.0,201851577,Air,,14130.0,T,7.03,3.54,2.17,,,90.0,,,,Mini-split ductless,3.15,Heater w/ flame ret. head,Oil,,,Yes,DAIKIN,3MXL24RMVJU,,24000,15500,,,12.5,18,No,7.034,,0.832,
5008460,NF,A1L,E,2022-08-01,2022,Single Detached,182.5,One storey,2008,B1;B2;P1,1.0,3.0922,8651.0,8.651,30507.5,8474.4,74576.8,20715.9,8474.5,0.0,0.0,0.0,0.0,8033586,Air,,14545.4,T,7.47,3.07,2.09,,,102.0,,,ESTAR,Mini-split ductless,3.6,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,FUJITSU,AOU24RLXFZH,,24000,15400,25600,2.06,10,20,Yes,7.034,7.503,0.813,0.867
5020527,NF,A1H,E,2022-08-01,2022,Single Detached,367.2,One storey,2015,B1,1.0,1.296,8268.1,8.268,32790.6,9108.6,76338.8,21205.4,9108.7,0.0,0.0,0.0,0.0,201851577,Air,,3699.2,T,6.33,3.54,2.17,,,90.0,,,ESTAR,Mini-split ductless,3.15,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,DAIKIN,3MXL24RMVJU,,24000,15500,,,12.5,18,No,7.034,,0.851,
5012656,NF,A1A,E,2022-08-01,2022,Single Detached,217.5,One storey,1995,B1;P1,1.0,2.6317,7543.6,7.544,24597.0,6832.6,74923.9,20812.4,6832.6,0.0,0.0,1794.5,0.0,8033586,Air,,14545.4,T,7.47,3.07,2.09,,,102.0,,,ESTAR,Mini-split ductless,3.6,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with pilot (sealed),Propane,Yes,FUJITSU,AOU24RLXFZH,,24000,15400,25600,2.06,10,20,Yes,7.034,7.503,0.932,0.995
5020609,NF,A1W,D,2022-08-01,2022,Single Detached,288.1,Two storeys,2004,B1,1.0,1.8501,8051.7,8.052,31613.4,8781.6,75953.0,21098.2,8781.5,0.0,0.0,0.0,0.0,8703506,Air,,4689.1,F,0.0,2.998,0.0,,,0.0,,,,Mini-split ductless,2.578,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Other (describe),Electricity,Yes,FUJITSU,AOU12RLS3H,ASU12RLS3Y,12000,9600,,,13.8,29.3,No,3.517,,0.437,
5020620,NF,A1B,D,2022-08-01,2022,Single Detached,344.7,Two storeys,2009,B1;B2,1.0,2.2992,9890.7,9.891,33088.9,9191.4,76418.0,21227.4,9191.5,0.0,0.0,0.0,0.0,204740070,Air,,12010.0,T,5.28,3.35,2.24,,,116.0,,,,Mini-split ductless,3.46,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with spark ignit. (sealed),Propane,Yes,FUJITSU,AOUG15LZAS1,ASUG15LZAS,14500,11200,17500,2.52,12.8,25.3,Yes,4.25,5.129,0.43,0.519
5032479,NF,A0A,D,2022-08-01,2022,Single Detached,339.4,One and a half,1955,B1,1.0,4.9797,20647.6,20.648,51354.7,14265.3,155278.2,43133.2,14265.4,0.0,17201.2,0.0,0.0,8849458,Air,,8470.0,T,3.99,3.58,2.26,,,105.0,,,,Mini-split ductless,2.8,Furnace with flame retention head,Oil,Baseboard/Hydronic/Plenum(duct) htrs,Electricity,Yes,DAIKIN,RXL12QMVJU,FTX12NMVJU,13600,8800,,,12,20,No,3.986,,0.193,
5020632,NF,A1K,D,2022-08-01,2022,Single Detached,244.7,One storey,2009,B1;P1,1.0,2.6988,7519.6,7.52,19950.7,5541.9,63779.0,17716.5,5542.0,0.0,0.0,0.0,0.0,204717600,Air,,8470.0,T,4.2,3.58,2.26,,,106.0,,,ESTAR,Mini-split ductless,2.8,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Advanced airtight wood stove,Mixed Wood,Yes,DAIKIN,RXL12QMVJU9,FTX12NMVJU,13400,8800,,,12,20,No,3.927,,0.522,
5007899,NF,A1N,E,2022-08-01,2022,Single Detached,175.1,One storey,1969,B1,1.0,6.3178,8671.7,8.672,24913.0,6920.3,67107.4,18641.1,6920.3,0.0,0.0,0.0,0.0,205663358,Air,,14130.0,T,7.03,3.54,2.17,,,90.0,,,,Mini-split ductless,3.15,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Pellet Stove,Wood Pellets,Yes,DAIKIN,3MXL24RMVJU*,,24000,15500,,,12.5,18,No,7.034,,0.811,
5015144,NF,A1N,E,2022-08-01,2022,Single Detached,216.4,One storey,1956,B1;B2;C1;F1;P1,1.0,7.7816,13649.4,13.649,39177.7,10882.8,93013.3,25837.2,10882.9,0.0,2895.3,0.0,0.0,207599994,Air,,11130.0,T,6.68,3.36,2.04,,,72.0,,,,Central split system,2.76,Furnace with flame retention head,Oil,Advanced airtight wood stove,Mixed Wood,Yes,DAIKIN,DZ17VSA301B*,DV35FECC14A*,22800,17600,,,10,18,No,6.682,,0.49,
