HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
5291589,SK,S7K,E,2024-07-01,2024,Single Detached,175.7,One storey,1976,B1;B2,1,2.2784,9558.8,9.559,22651.2,6292.1,78542.6,21817.6,6292.0,2954.7,0.0,0.0,0.0,212404693,Air,,14025.2,T,7.33,3.34,1.82,,,86.0,,,ESTAR,Central split system,2.93,Condensing furnace,Natural Gas,Wood fireplace,Mixed Wood,Yes,NAPOLEON,WSEHV2436RA1-N,"H,DE33(6,9)36",24000,15000,17500,1.80,8.5,17,No,7.034,5.129,0.736,0.537
5292575,SK,S7J,E,2024-05-01,2024,Single Detached,201.8,One storey,1989,B1,1,1.4762,6537.7,6.538,13359.8,3711.1,82247.0,22846.6,3711.1,3004.7,0.0,0.0,0.0,212361760,Air,,10887.0,T,9.67,3.25,1.85,,,81.0,,,,Central split system,2.76,Condensing furnace,Natural Gas,Fireplace with pilot (sealed),Natural Gas,Yes,MOOVAIR,DMA30HOS20230E7,CUB36HAC20CWT7A,33000,22600,27000,1.85,9.7,15.5,Yes,9.671,7.913,1.479,1.21
5295635,SK,S0K,E,2024-07-01,2024,Single Detached,240.7,One storey,2000,B1;C1;F1,1,2.0453,11201.7,11.202,22075.3,6132.1,99175.2,27548.9,6132.0,5751.7,0.0,0.0,0.0,205921391,Air,,7661.2,T,3.52,2.88,1.78,,,98.0,,,ESTAR,Central split system,2.53,Induced draft fan furnace,Natural Gas,,,Yes,SENVILLE,SENA/12HF/OZ,SENA/12HF/ID,12000,10600,11800,1.75,10,19,No,3.517,3.458,0.314,0.309
10943746,SK,S0G,E,2024-06-01,2024,Detached Duplex,475.0,Two storeys,1898,B1;B2,1,4.8422,46931.6,46.932,66122.7,18367.6,357539.5,99317.3,18367.6,51124.6,0.0,0.0,18367.6,207349920,Air,,23749.0,T,10.73,4.23,2.04,,,100.0,,,,Mini-split ductless,3.2,Advanced airtight wood stove,Mixed Wood,Fireplace with pilot (unsealed),Natural Gas,Yes,SAMSUNG,AJ036BXS4CH,,34000,21600,36600,2.04,9.3,21.5,No,9.964,10.726,0.212,0.229
5325304,SK,S7L,E,2024-08-01,2024,Single Detached,141.6,One and a half,1927,B1;B2;C1;F1,1,9.5757,19942.1,19.942,22043.2,6123.2,134105.1,37251.7,6123.1,15697.9,0.0,0.0,0.0,212361759,Air,,13141.9,T,7.33,3.35,1.95,,,80.0,,,ESTAR,Central split system,3.2,Condensing furnace,Natural Gas,Wood fireplace,Mixed Wood,Yes,MOOVAIR,DMA24HOS20230E7,CUB24HAC20BWT7A,25000,21000,20000,1.95,9.5,16.5,Yes,7.327,5.861,0.367,0.294
5327538,SK,S7L,E,2024-07-01,2024,Single Detached,164.3,One storey,1968,B1;B2,1,3.0355,13718.6,13.719,26658.5,7405.2,98784.8,27440.4,7405.1,7972.8,0.0,0.0,0.0,207098550,Air,,8776.6,T,7.62,3.47,1.95,,,70.0,,,ESTAR,Central split system,3.36,Condensing furnace,Natural Gas,,,Yes,CARRIER,38MARBQ24AA3,CAP**2417AL*,26000,15800,,,10,15,No,7.62,,0.555,
5350632,SK,S7H,E,2024-10-01,2024,Single Detached,187.4,One storey,1963,B1;B2,1,4.0199,12339.6,12.34,29589.2,8219.3,102367.4,28435.6,8219.2,5438.4,0.0,0.0,0.0,212361759,Air,,13141.9,T,7.33,3.35,1.95,,,80.0,,,ESTAR,Central split system,3.2,Induced draft fan furnace,Natural Gas,Wood fireplace,Mixed Wood,Yes,MOOVAIR,DMA24HOS20230E7,CUB24HAC20BWT7A,25000,21000,20000,1.95,9.5,16.5,Yes,7.327,5.861,0.594,0.475
5360570,SK,S7J,E,2024-09-01,2024,Single Detached,216.1,One storey,1968,B1;B2;C1;C2;F1;F2,1,2.8097,14315.6,14.316,23579.9,6550.0,115010.4,31947.6,6550.1,10407.9,0.0,0.0,0.0,207098550,Air,,8785.4,T,7.62,3.57,1.95,,,70.0,,,,Central split system,3.36,Condensing furnace,Natural Gas,Fireplace with pilot (unsealed),Natural Gas,Yes,CARRIER,38MARBQ24AA3,CAP**2417AL*,26000,15800,,,10,15,No,7.62,,0.532,
5362465,SK,S0A,E,2024-11-01,2024,Single Detached,380.6,One storey,1960,B1;C1;F1,1,2.1208,15065.4,15.065,52039.1,14455.4,98554.4,27376.4,14455.4,0.0,0.0,0.0,0.0,206753163,Air,,14100.2,T,14.07,3.32,1.8,,,81.0,,,,Central split system,3.22,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Pellet Stove,Wood Pellets,Yes,GE Appliances,AUH4860ZGDA*,UUY48ZGDAB*,48000,39500,39000,1.80,9,17,Yes,14.067,11.43,0.934,0.759
5365070,SK,S7L,E,2024-08-01,2024,Single Detached,149.3,One storey,1967,B1;B2,1,2.8634,8594.3,8.594,14204.4,3945.7,77802.3,21611.9,3945.6,2125.9,0.0,0.0,0.0,212361758,Air,,9868.3,T,5.57,3.69,2.2,,,78.0,,,ESTAR,Central split system,3.07,Condensing furnace,Natural Gas,,,Yes,MOOVAIR,DMA18HOS20230E7,CUB24HAC20BWT7A,19000,14700,15000,2.20,9.5,16.1,Yes,5.568,4.396,0.648,0.512
5372609,SK,S7H,E,2024-06-01,2024,Single Detached,174.1,One storey,1975,B1;B2,1,4.6101,11170.9,11.171,20985.7,5829.4,93152.6,25875.9,5829.5,4972.5,0.0,0.0,0.0,212361759,Air,,13141.9,T,7.33,3.35,1.95,,,80.0,,,ESTAR,Central split system,3.2,Condensing furnace,Natural Gas,Fireplace with pilot (sealed),Natural Gas,Yes,MOOVAIR,DMA24HOS20230E7,CUB24HAC20BWT7A,25000,21000,20000,1.95,9.5,16.5,Yes,7.327,5.861,0.656,0.525
5373317,SK,S7H,E,2024-10-01,2024,Single Detached,188.1,Split entry/Raised base.,1975,B1,1,5.4337,15818.7,15.819,29453.5,8181.6,123386.8,34274.4,8181.5,9863.7,0.0,0.0,0.0,212633393,Air,,10172.8,T,9.5,3.02,1.8,,,74.0,,,,Central split system,2.79,Condensing furnace,Natural Gas,Fireplace with pilot (unsealed),Natural Gas,Yes,,,,,,,,,,,,,,
5376110,SK,S4R,E,2024-08-01,2024,Single Detached,145.7,Split entry/Raised base.,1971,B1;P1,1,5.7554,12486.2,12.486,30839.2,8566.5,96005.2,26668.3,8566.5,2620.0,0.0,0.0,0.0,210295923,Air,,20286.7,T,17.29,3.32,1.91,,,92.0,,,ESTAR,Central split system,2.54,Condensing furnace,Natural Gas,,,Yes,MOOVAIR,DMA60HOS20230E7,FMA60HIAHUU230X7,59000,42000,48500,1.91,9.4,15.3,Yes,17.291,14.214,1.385,1.138
