Column,2000,2001,2003,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
CCASHPSEER2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.7,0.0,0.0,0.5,1.3,1.7,0.2,0.1,0.0,0.1,2.6,48.8,69.1
CCASHPCAPACITYMAINTENANCE,100.0,100.0,100.0,20.0,25.0,50.0,21.4,14.8,10.7,7.1,12.0,8.8,12.7,16.1,26.7,59.2,77.8,89.9,91.0,87.3,86.3
ASHPHSPF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,1.1,0.2,0.0,0.0,0.0,0.3,3.3,4.8
ASHPSEER2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,1.1,0.2,0.0,0.0,0.0,0.3,3.1,4.5
HPESTAR,0.0,0.0,0.0,20.0,58.3,16.7,21.4,14.8,20.0,27.7,29.1,39.7,24.6,27.8,36.2,34.3,34.6,36.5,29.8,38.6,37.4
AIRCONDTYPE,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AIRCOP,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.7,99.7,99.9,99.9,99.9,100.0
FURNACETYPE,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
FURNACEFUEL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SUPPHTGTYPE1,100.0,0.0,0.0,60.0,50.0,66.7,57.1,51.9,64.0,57.1,60.7,59.3,53.9,59.3,57.6,54.4,58.7,57.1,55.3,51.9,49.9
SUPPHTGFUEL1,100.0,0.0,0.0,60.0,50.0,66.7,57.1,51.9,64.0,57.1,60.7,59.3,53.9,59.3,57.6,54.4,58.7,57.1,55.3,51.9,49.9

# Percent of AHRI-bearing rows in that audit year where the column is populated
# (non-blank and not a bare 0). Every year of the source corpus carries the
# identical 433-column header, so a low figure means the field was not being
# collected that year, not that the column is absent.
# AHRI-bearing rows per audit year:
#   2000: 1
#   2001: 1
#   2003: 3
#   2009: 5
#   2010: 12
#   2011: 12
#   2012: 14
#   2013: 27
#   2014: 75
#   2015: 112
#   2016: 117
#   2017: 204
#   2018: 228
#   2019: 540
#   2020: 469
#   2021: 17,953
#   2022: 65,565
#   2023: 145,176
#   2024: 127,579
#   2025: 63,259
#   2026: 22,063
