HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
5440209,AB,T6J,E,2025-05-01,2025,Single Detached,233.3,Two storeys,1967,B1;B2,1,2.5995,16992.6,16.993,36651.1,10180.9,124808.3,34669.2,10180.9,8914.8,0.0,0.0,0.0,212361760,Air,,10880.9,T,9.67,3.25,1.85,,,81.0,,,,Central split system,2.76,Induced draft fan furnace,Natural Gas,,,Yes,MOOVAIR,DMA30HOS20230E7,CUB36HAC20CWT7A,33000,22600,27000,1.85,9.7,15.5,Yes,9.671,7.913,0.569,0.466
8428746,AB,T2K,E,2025-05-01,2025,Single Detached,186.9,One storey,1963,B1,1,4.7907,14200.9,14.201,14084.7,3912.4,111852.3,31070.3,3912.5,12464.5,0.0,0.0,0.0,204875618,Air,,5011.5,T,5.01,2.998,2.19,,,74.0,,,ESTAR,Central split system,3.383,Condensing furnace,Natural Gas,Wood fireplace,Mixed Wood,Yes,DAIKIN,DZ17VSA181A*,CA*EA1818*4A*,17100,10500,,,10,18,No,5.012,,0.353,
5298353,AB,T5W,E,2025-01-01,2025,Single Detached,178.7,One storey,1961,B1;B2;B3,1,3.1028,8456.8,8.457,17223.4,4784.3,76316.5,21199.2,4784.2,3411.7,0.0,0.0,0.0,212633392,Air,,7057.7,T,6.56,3.22,1.8,,,102.0,,,,Central split system,3.52,Condensing furnace,Natural Gas,Baseboard/Hydronic/Plenum(duct) htrs,Electricity,Yes,GREE,FLEXX36HP230V1AO,CDP36K15P+TD,,14000,21200,1.80,8.5,15.2,No,,6.213,,0.735
5441026,AB,T6E,E,2025-05-01,2025,Single Detached,316.8,Two storeys,2023,B1,1,0.8404,13336.9,13.337,34029.5,9452.7,91355.6,25376.8,9452.9,3015.3,0.0,0.0,0.0,212396763,Air,Coils Only,19821.0,T,9.5,3.02,1.83,7.0,15.2,92.0,0.0,0.0,ESTAR,Coils Only,2.85,Condensing furnace,Natural Gas,Fireplace with spark ignit. (sealed),Natural Gas,Yes,TRANE,4TXD2036A10NU**,"H,TG34936+TD",36000,22000,24000,1.80,8.5,15.2,No,10.551,7.034,0.791,0.527
5441441,AB,T6C,E,2024-11-01,2024,Double/Semi-detached,268.9,Two storeys,2024,B1,1,1.3914,10292.1,10.292,21711.1,6030.9,78266.8,21741.0,6030.9,2182.0,0.0,0.0,0.0,211377664,Air,Central split system,15824.7,T,9.96,3.58,2.06,7.26,0.0,71.0,0.0,0.0,,Central split system,2.78,Condensing furnace,Natural Gas,,,Yes,YORK,HMH72B341,XAFB36DBCN1,33400,25000,23400,2.04,8.5,17.5,Yes,9.789,6.858,0.951,0.666
5441505,AB,T3E,E,2025-04-01,2025,Single Detached,212.2,One storey,1959,B1,1,3.3707,10901.6,10.902,23313.7,6476.1,82326.2,22868.6,6476.2,1006.7,0.0,0.0,0.0,211644151,Air,Coils Only,16125.7,T,10.55,2.94,1.8,7.0,15.2,72.0,0.0,0.0,,Coils Only,2.79,Condensing furnace,Natural Gas,,,Yes,GREE,GUD36W/A-D(U),GCAT36*/NAA,36000,23200,26000,1.80,8.5,15.2,Yes,10.551,7.62,0.968,0.699
5441787,AB,T2K,E,2025-02-01,2025,"Row house, middle unit",212.5,Two storeys,2010,B1,1,4.89,8328.0,8.328,17170.9,4769.7,68999.5,19166.7,4769.8,5014.2,0.0,0.0,0.0,213153601,Air,,6450.0,T,6.45,3.85,1.86,,,98.0,,,ESTAR,Central split system,3.41,Condensing furnace,Natural Gas,Fireplace with pilot (sealed),Natural Gas,Yes,NAPOLEON,WSEHV2436RA1-N,HG34936+TD,24000,14000,21200,1.80,8.5,15.2,No,7.034,6.213,0.845,0.746
5068360,AB,T4C,E,2025-01-01,2025,Single Detached,238.1,Two storeys,1997,B1,1,3.365,13780.4,13.78,20187.9,5607.8,83760.1,23266.9,5607.8,5002.0,0.0,0.0,0.0,213872261,Air,Central split system,20088.3,T,11.72,4.17,2.19,7.0,17.0,76.0,0.0,0.0,ESTAR,Central split system,2.7,Condensing furnace,Natural Gas,Fireplace with pilot (unsealed),Natural Gas,Yes,DAIKIN,DZ6VSA421EA*,CA*EA6030*4A*,40000,28000,30600,2.20,8.6,17,Yes,11.723,8.968,0.851,0.651
5442219,AB,T8N,E,2025-04-01,2025,Single Detached,213.3,One storey,1972,B1;B2,1,4.5208,14852.8,14.853,31916.7,8865.8,99245.9,27568.5,8865.9,3445.9,0.0,0.0,0.0,210435439,Air,,24459.1,T,12.31,4.07,2.06,,,90.0,,,ESTAR,Central split system,3.23,Condensing furnace,Natural Gas,Fireplace with spark ignit. (sealed),Natural Gas,Yes,Mitsubishi Electric,PUZ-HA36NKA*,PAA-A36CA1,42000,28400,42000,1.80,9.5,15.3,Yes,12.309,12.309,0.829,0.829
5442277,AB,T6J,E,2025-03-01,2025,Single Detached,300.1,Two storeys,1980,B1,1,4.4786,18959.8,18.96,47929.9,13314.0,126278.4,35077.6,13314.0,6662.6,0.0,0.0,0.0,213369385,Air,,23127.4,T,9.09,3.24,1.8,,,80.0,,,,Central split system,2.85,Condensing furnace,Natural Gas,Fireplace with pilot (sealed),Natural Gas,Yes,MOOVAIR,DMA30HOS20230E7,CUB36HAC20BWT7A,31000,19600,22600,1.80,8.5,15.2,Yes,9.085,6.623,0.479,0.349
5442566,AB,T2T,E,2025-01-01,2025,Double/Semi-detached,160.9,Two storeys,2002,B1,1,6.8661,9809.0,9.809,22354.6,6209.7,86513.2,24031.6,6209.8,4450.9,0.0,0.0,0.0,211644151,Air,,10039.4,T,9.96,2.99,1.8,,,75.0,,,,Central split system,2.79,Condensing furnace,Natural Gas,Fireplace with pilot (sealed),Natural Gas,Yes,GREE,GUD36W/A-D(U),GCAT36*/NAA,36000,23200,26000,1.80,8.5,15.2,Yes,10.551,7.62,1.076,0.777
5443169,AB,T0A,E,2025-05-01,2025,Single Detached,253.6,One storey,1969,B1;B2;C1;F1,1,3.4224,16656.8,16.657,26583.5,7384.4,99588.1,27663.6,7384.5,6012.8,0.0,0.0,0.0,214625947,Air,Central split system,12267.1,T,9.96,3.69,2.18,7.8,20.5,54.0,0.0,0.0,,Central split system,3.51,Condensing furnace,Natural Gas,Wood fireplace,Mixed Wood,Yes,LENNOX,EL22XPV-036-230A**,CK40CT-48B-0*+TDR,34000,22600,18600,2.18,8.8,20.5,No,9.964,5.451,0.598,0.327
5443540,AB,T2X,E,2025-03-01,2025,Single Detached,411.8,Two storeys,2023,B1;P1,1,1.2393,14631.0,14.631,28343.9,7873.4,76840.0,21344.6,7873.4,1439.5,0.0,0.0,0.0,212608416,Air,Central split system,24066.1,T,14.65,3.35,2.13,6.6,19.0,74.0,0.0,0.0,ESTAR,Central split system,2.81,Condensing heater,Natural Gas,Fireplace with spark ignit. (sealed),Natural Gas,Yes,LENNOX,VPC048H4M-3P*,,50000,37000,35000,1.80,9.3,19,No,14.654,10.257,1.002,0.701
5443985,AB,T1K,E,2025-04-01,2025,Single Detached,217.8,One storey,1974,B1,1,5.3392,13543.1,13.543,14820.6,4116.9,78787.8,21885.7,4117.0,2731.1,0.0,0.0,0.0,212406525,Air,,7642.1,T,6.56,3.78,2.1,,,107.0,,,,Central split system,3.41,Condensing furnace,Natural Gas,Wood fireplace,Mixed Wood,Yes,TRANE,4TXD2036A10NU**,"H,TG34930+TD",24000,15800,21200,1.80,8.5,15.2,No,7.034,6.213,0.519,0.459
5444065,AB,T0B,E,2025-01-01,2025,Single Detached,532.4,One storey,2008,B1,1,2.1116,26682.2,26.682,69101.0,19194.9,101923.2,28312.2,19194.9,0.0,0.0,0.0,0.0,215287182,Ground,,13422.7,F,0.0,3.4,0.0,,,0.0,,,C448,Conventional A/C,4.45,Electric furnace,Electricity,,,No,,,,,,,,,,,,,,
5444534,AB,T6R,E,2025-06-01,2025,Single Detached,300.5,Two storeys,1984,B1;B2,1,3.0697,19027.0,19.027,49584.3,13773.5,129407.8,35946.9,13773.4,7368.7,0.0,0.0,0.0,211644151,Air,Coils Only,16990.8,T,10.55,3.02,1.8,7.0,15.2,72.0,0.0,0.0,,Coils Only,2.79,Condensing furnace,Natural Gas,Wood fireplace,Mixed Wood,Yes,GREE,GUD36W/A-D(U),GCAT36*/NAA,36000,23200,26000,1.80,8.5,15.2,Yes,10.551,7.62,0.555,0.4
5444727,AB,T8V,E,2025-05-01,2025,Single Detached,169.5,One storey,1979,B1;P1,1,3.1421,12112.3,12.112,21873.1,6075.9,84375.1,23437.7,6075.9,2718.4,0.0,0.0,0.0,212396553,Air,,16036.6,T,6.56,3.6,2.1,,,107.0,,,ESTAR,Central split system,3.41,Condensing furnace,Natural Gas,,,Yes,TRANE,4TXD2036A10NU**,"F,PE*G34930",,15000,21200,1.80,9,17,No,,6.213,,0.513
