HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
1593811,YK,Y1A,E,2022-08-01,2022,Double/Semi-detached,147.2,Two storeys,1957,B1,1.0,5.1302,10024.5,10.024,31475.7,8743.3,74723.8,20756.8,8743.4,0.0,0.0,0.0,0.0,206223052,Air,,7000.0,T,11.14,2.998,2.0,,,100.0,,,ESTAR,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,,,,,,,,,,,,,,
5028589,YK,Y0B,E,2022-09-01,2022,Single Detached,628.4,Three storeys,2005,B1,1.0,2.395,29670.6,29.671,56689.1,15747.1,119033.3,33065.1,15747.1,0.0,0.0,0.0,5136.2,201754495,Air,,60430.0,F,0.0,6.67,0.0,,,0.0,,,ESTAR,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Wood fireplace insert,Softwood,Yes,Mitsubishi Electric,PUZ-HA42NKA,PVA-A42AA*,48000,42000,,,11,15.3,No,14.067,,0.474,
5028589,YK,Y0B,D,2021-10-01,2021,Single Detached,628.4,Three storeys,2005,B1,1.0,2.321,28994.4,28.994,55191.4,15331.1,117175.4,32549.0,15331.0,0.0,0.0,0.0,5036.2,201754495,Air,,60429.9,F,0.0,6.67,0.0,,,0.0,,,ESTAR,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Wood fireplace insert,Softwood,Yes,Mitsubishi Electric,PUZ-HA42NKA,PVA-A42AA*,48000,42000,,,11,15.3,No,14.067,,0.485,
25484,YK,Y1A,E,2022-08-01,2022,Single Detached,190.9,One storey,1972,C1;F1,1.0,5.7306,17168.5,17.168,35936.5,9982.4,99616.1,27671.4,9982.6,0.0,0.0,5690.9,0.0,206223006,Air,,26024.7,T,26.02,3.6,2.09,,,100.0,,,ESTAR,Not installed,0.0,Condensing boiler,Propane,Fireplace with spark ignit. (sealed),Propane,Yes,,,,,,,,,,,,,,
10680746,YK,Y1A,E,2022-10-01,2022,Single Detached,177.0,One storey,2018,B1,1.0,1.295,6637.7,6.638,22016.7,6115.8,69439.2,19288.8,6115.9,0.0,0.0,1794.5,0.0,202521824,Air,,24190.7,T,24.19,3.42,2.0,,,100.0,,,ESTAR,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with pilot (sealed),Propane,Yes,DAIKIN,4MXL36TVJU,,34400,22400,,,11.2,21.7,No,10.082,,1.519,
5023173,YK,Y1A,E,2022-11-01,2022,Single Detached,241.7,Two storeys,1994,B1,1.0,2.5973,14749.7,14.75,25664.1,7129.0,84382.2,23439.7,7128.9,0.0,4268.1,0.0,0.0,206223052,Air,,26031.2,T,26.03,5.9,3.42,,,100.0,,,ESTAR,Not installed,0.0,Furnace with flame retention head,Oil,Furnace/Boiler w/ spark ignition,Propane,Yes,,,,,,,,,,,,,,
1795909,YK,Y1A,E,2022-12-01,2022,Single Detached,154.3,One storey,1979,C1;C2;F1;F2,1.0,4.97,14091.0,14.091,34985.3,9718.2,80932.2,22481.3,9718.1,0.0,0.0,0.0,0.0,206223052,Air,,26031.2,T,26.03,3.42,2.0,,,100.0,,,ESTAR,Central split system,3.521,Electric furnace,Electricity,Adv. airtight wood stove + cat. conv.,Softwood,Yes,,,,,,,,,,,,,,
1923231,YK,Y1A,E,2022-11-01,2022,Single Detached,167.1,One storey,1995,C1;F1,1.0,2.3457,9698.6,9.699,26708.6,7419.1,70223.4,19506.7,7419.2,0.0,0.0,0.0,0.0,201851577,Air,,14387.7,T,14.39,3.74,2.17,,,90.0,,,ESTAR,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Advanced airtight wood stove,Softwood,Yes,DAIKIN,3MXL24RMVJU,,24000,15500,,,12.5,18,No,7.034,,0.725,
2071766,YK,Y1A,P,2022-04-01,2022,Single Detached,209.2,Two storeys,2022,B1,1.0,3.57,10770.3,10.77,35031.1,9730.9,75775.8,21049.0,9730.9,0.0,0.0,0.0,0.0,205975740,Air,,15440.2,f,0.0,3.44,0.0,,,0.0,,,,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with spark ignit. (sealed),Propane,Yes,Mitsubishi Electric,MUZ-FS18NAH-U1,MSZ-FS18NA-U1,19000,12800,22400,2.00,10.3,21,No,5.568,6.565,0.517,0.61
2078944,YK,Y1A,P,2022-08-01,2022,Single Detached,119.8,Two storeys,2022,B1,1.0,3.57,6512.1,6.512,17275.3,4798.7,59112.3,16420.2,4798.6,0.0,0.0,0.0,0.0,205975740,Air,,15440.2,f,0.0,3.44,0.0,,,0.0,,,,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with spark ignit. (sealed),Propane,Yes,Mitsubishi Electric,MUZ-FS18NAH-U1,MSZ-FS18NA-U1,19000,12800,22400,2.00,10.3,21,No,5.568,6.565,0.855,1.008
