"TOWNSHIP CON LOT","UTM","DATE CNTR","CASING DIA","WATER","PUMP TEST","WELL USE","SCREEN","WELL","FORMATION"
"   ","18 445317 5025560 W","2008-03 7241","2.04 ","","","MT ","0005 25 ","7104280 (Z80997) A056001","BLCK LOAM SOFT  DRY 0002 BRWN SAND SILT SOFT 0008 GREY CLAY SILT SOFT 0020 GREY SILT CLAY SAND 0030 "
"   ","18 443941 5019097 W","2006-10 6907","","","","","","7038102 (Z50978) A045486",""
"   ","18 414476 5039853 W","2007-09 6574","5.98 5.51 ","FR 0030 ","10/19/10/1:","DO ","0026 4  ","7103359 (Z42174) A037746","BLCK LOAM 0002 BRWN SAND FSND 0016 BRWN MSND 0033 "
"   ","18 414054 5008519 W","2007-09 4879","6.25 ","UK 0102 UK 0144 ","76/86/12/1:0","DO ","","7103355 (Z60206) A060101","BRWN SAND STNS 0001 GREY LMSN LMSN 0118 GREY LMSN SNDS LYRD 0170 "
"   ","18 401198 5033104 W","2008-01 4879","6.25 ","UK 0038 ","4/30/5/1:0","DO ","","7103354 (Z60072) A060071","BRWN SAND FILL 0001 BRWN SAND STNS 0004 WHIT DLMT FCRD 0005 WHIT DLMT 0038 GREY GRNT LYRD 0195 "
"   ","18 413746 5035579 W","2008-02 4879","6.25 ","UK 0192 ","16/27/12/1:0","DO ","","7103351 (Z60073) A060070","BRWN CLAY FILL 0003 BRWN CLAY DNSE 0013 GREY CLAY SOFT 0045 GREY CLAY SILT 0073 GREY CLAY SOFT 0103 GREY SAND 0123 BRWN LMSN 0192 GREY GRNT 0219 "
"   ","18 437479 5006790 W","2006-11 6907","","","","","","7038100 (Z50981) A045490",""
"   ","18 471236 5025315 W","2007-10 6667","","","","DO ","","7103318 (Z63265) A061289",""
"   ","18 439452 5009032 W","2007-05 6964","2.04 ","","","","0124 10 ","7044290 (Z34847) A035404",""
"   ","18 432325 5008674 W","2006-10 6907","","","","","","7038103 (Z50977) A045485",""
"   ","18 432190 5011534 W","2006-10 6907","","","","","","7038101 (Z50980) A045487",""
"   ","18 445303 5025534 W","2008-03 7241","2.04 ","","","MT ","0005 25 ","7104279 (Z92137) A039294","BLCK LOAM SOFT  DRY 0002 BRWN SAND SILT SOFT 0008 GREY CLAY SILT SOFT 0020 GREY SILT CLAY SAND 0030 "
"   ","18 424058 5034652 W","2006-10 6907","","","","","","7038104 (Z50975) A017509",""
"   ","18 462432 5037724 W","2008-04 6964","","","","","","7105072 (M00810) A032167 A",""
"    ","","2006-05 6894","","","","","","1536378 (Z45502)  A",""
"   ","18 444926 5019218 W","2006-09 6907","","","","","","7038106 (Z50974) A017500",""
"   ","18 457875 5033769 W","2008-10 7241","1.36 ","","","MT ","0018 2  ","7114847 (M00484) A075477","BRWN GRVL SAND DNSE 0003 BRWN SAND SILT SOFT 0010 BRWN SAND SILT SOFT 0012 GREY CLAY SILT WBRG 0020 "
"   ","18 444335 5019376 W","2006-09 6907","","","","","","7038107 (Z50979) A017510",""
"   ","18 413506 5038551 W","2006-10 6907","","","","","","7038105 (Z50976) A017508",""
"   ","18 445341 5025575 W","2008-03 7241","2.04 ","","","MT ","0003 12 ","7104281 (Z80998) A055999","BLCK LOAM SOFT  DRY 0002 BRWN SAND FILL SOFT 0005  DRY GREY CLAY SILT SOFT 0015 WBRG "
"    031","","2004-12 4006","6    6    ","FR 0032 ","7/11/30/2:0","DO ","","1536505 (Z22643) A022383","BRWN SAND STNS 0012 GREY LMSN FCRD 0018 GREY LMSN 0120 "
"    032","","2006-05 6964","","","","","","1536399 (Z34812)  A","GREY CLAY SLTY 0003 0016 "
"   001","18 446315 5009141 W","2008-07 1558","","","","","","7112945 (Z77383)  A",""
"   006","","2005-04 6907","","","","","","1535511 (Z17640) ",""
"   01 001","18 462432 5037724 W","2007-07 6964","1.37 ","","","OT ","0002 29 ","7104682 (M00808) A032167","GREY CLAY WBRG 0031 "
"   01 014","18 445074 5015388 W","2008-04 1119","","","","","","7104232 (Z78194)  A","0083 "
"   01 014","","2005-04 6907","","","","","","1535510 (Z17641) ",""
"   01 022","18 447989 4999249 W","2008-04 1558","6.23 ","UK 0187 ","27/43/12/1:","DO ","","7105830 (Z77344) A051546","BRWN CLAY STNS 0004 BRWN CLAY BLDR PCKD 0014 GREY TILL PCKD 0067 GREY LMSN LYRD HARD 0195 "
"   01 037","","2006-06 6894","","","","","","1536437 (Z45516)  A",""
"   012","18 412602 5039717 W","2007-11 6907","","","",""," ","7101730 (Z50998) A017520",""
"   02 001","18 445275 5008331 W","2008-03 1119","5.99 ","0130 0272 ","13/26/12/1:","DO ","","7104181 (Z78196) A072318","SAND GRVL 0056 GREY LMSN 0160 GREY SNDS 0280 "
"   02 002","","2005-10 6907","","","","","","1536072 (Z17656) ",""
"   02 004","","2004-03 4006","10   6    6    ","0093 0129 ","12/21/10/2:","DO ","","1536506 (235230) ","BRWN SAND STNS 0008 BLUE CLAY STNS 0021 GREY GRVL CLAY 0034 GREY LMSN FCRD 0040 GREY LMSN 0140 "
"   02 016","18   W","1986-02 3142","6    6    ","FR 0061 ","14/22/40/2:0","DO ","","1520451 () ","BRWN SAND 0030 GREY SNDS 0063 "
"   02 016","18   W","1986-02 3142","6    6    ","FR 0048 UK 0072 ","12/25/40/3:0","DO ","","1520450 () ","BRWN CLAY PCKD 0009 BRWN SAND GRVL BLDR 0031 GREY SNDS 0074 "
"   02 024","18 449118 4999285 W","2008-06 1414","6.11 ","FR 0072 ","18/19/26/1:","DO ","","7106975 (Z79839) A057531","BRWN SAND CLAY BLDR 0010 BRWN GRVL SAND PCKD 0039 GREY GRVL SAND PCKD 0072 GREY LMSN LYRD 0080 "
"   021","18 449452 5000948 W","2008-08 1558","6.23 ","UT 0141 ","11/23/12/1:0","DO "," ","7112935 (Z84384) A065700","BRWN SAND LOAM BLDR 0014 GREY SAND CLAY 0020 GREY SAND GRVL BLDR 0040 GREY HPAN 0070 GREY LMSN 0150 "
"   024","18 434108 5004216 W","2007-10 6907","","","",""," ","7101707 (Z50997) A017475",""
"   03 010","18 421578 5017602 W","2008-01 1119","5.99 ","0256 0270 ","8/83/5/1:","DO ","","7104179 (Z61198) A072334","SAND GRVL 0040 GREN LMSN 0280 "
"   038","18 415844 5037777 W","2006-10 6574","5.90 5.51 ","FR 0049 ","27//4/1:0","DO ","0045 4  ","7042387 (Z50544) A045194","BRWN SAND 0040 GREY SAND SILT LYRD 0049 "
"   05 023","18 434934 5013017 W","2008-06 1119","6.25 5.92 ","UT 0274 ","19/98/7/1:","DO ","","7109801 (Z80811) A066955","SAND GRVL BLDR 0047 LMSN 0280 "
"   07 013","","2005-03 1119","","","","","","1535539 (Z23212)  A","0031 "
"   08 022","","2003-07 4006","10   6    6    ","0048 0089 ","17/61/10/1:","DO ","","1536509 (243279) ","BRWN SAND STNS 0010 GREY LMSN FCRD 0025 GREY LMSN 0100 "
"   09 017","18 412595 5015711 W","2008-03 1119","5.99 ","0294 ","45/103/15/1:","DO ","","7104173 (Z78177) A072322","FILL 0006 GREY LMSN 0260 RED  LMSN 0282 GREY LMSN 0311 "
"   09 017","18 412942 5015713 W","2008-03 1119","5.99 ","0277 0319 ","54/90/20/1:","DO ","","7104174 (Z78176) A072361","SAND 0003 GREY LMSN 0340 "
"   09 017","","2005-11 1558","6.23 ","","30/55/12/2:","DO ","","1536163 (Z39211) A025661","BRWN SAND 0004 BRWN SAND 0007 GREY LMSN 0190 GREY SHLE 0270 GREY LMSN 0275 "
"   09 017","18 412535 5015604 W","2008-03 1119","5.99 ","0265 0290 ","18/94/8/1:","DO ","","7104176 (Z78178) A072360","CLAY ROCK 0004 GREY LMSN 0233 RED  LMSN 0289 GREY LMSN 0298 "
"   10 001","18 400919 5021720 W","2008-06 4879","15.8 ","UK 0036 UK 0047 ","7//55/1:0","DO ","","7111947 (Z60100) A073820","BRWN CLAY DNSE 0006 GREY CLAY SOFT 0031 BRWN LMSN 0059 "
"   10 020","18   W","1985-12 3142","6    6    ","","10/40/12/1:0","DO ","","1520449 () ","BRWN CLAY PCKD 0012 BLUE CLAY LOOS 0026 GREY LMSN HARD 0070 "
"   10 039","18 470766 5005319 W","2008-05 1517","6.25 ","FR 0055 FR 0070 ","2/4/10/1:","PS ST "," ","7106237 (Z69199) A062563","BRWN CLAY SNDY 0005 GREY CLAY 0018 GREY SAND GRVL CLAY 0029 RED  GRVL SAND 0046 BRWN LMSN 0075 "
"   12 012","","2005-04 6907","","","","","","1535509 (Z17639) ",""
"   22 021","","2003-09 4006","10   6    ","0052 ","2/21/10/1:","DO ","","1536494 (243280) ","SAND STNS 0006 BLUE CLAY SILT LYRD 0035 BRWN GRVL 0055 "
"  A 001","18 446297 5008438 W","2008-01 1119","5.99 ","0024 0102 0110 ","","NU ","","7104234 (Z78154) A052495","CLAY 0016 GREY LMSN 0130 "
"  M42 020","18 466543 5030269 W","2006-11 6907","","","","","","7038099 (Z50982) A017507 A",""
" CON   038","","2006-01 4006","6    ","","8/65/10/2:0","DO ","","1536493 (Z40107) A036299","BRWN SAND STNS 0008 GREY LMSN FCRD 0016 GREY LMSN 0140 "
" CON  05 004","","2005-12 4006","6    ","0068 ","13/28/10/2:0","DO ","","1536496 (Z40110) A036292","BRWN SAND STNS 0016 GREY LMSN FCRD 0020 GREY LMSN 0080 "
" CON  06 038","","2006-05 4006","6    ","0058 0089 ","12/56/8/2:0","DO ","","1536519 (Z40121) A036295","BRWN SAND STNS 0012 GREY LMSN FCRD 0018 GREY LMSN 0100 "
" CON  06 039","","2006-01 4006","6    ","0054 ","1/41/10/2:0","DO ","","1536518 (Z40109) A036291","BRWN SAND LOAM 0003 GREY LMSN FCRD 0010 GREY LMSN 0060 "
" CON  07 022","","2005-11 4006","5.90 ","FR 0036 FR 0043 ","18//4/2:0","DO ","","1536495 (Z40106) A036300","BRWN SAND STNS 0008 GREY CLAY STNS 0030 GREY LMSN FCRD 0039 GREY LMSN 0098 "
" RF  01 010","","2006-02 4006","","","","","","1536491 (Z40114) A036334 A",""
" RF  01 010","18 444567 5012519 W","2006-02 4006","","","","","","1536500 (Z40116) A036336 A",""
" RF  01 011","18 444425 5012563 W","2006-02 4006","","","","","","1536511 (Z40117) A036337 A",""
" RF  01 011","18 444431 5012601 W","2006-02 4006","","","","","","1536517 (Z40115) A036335 A",""
" RF  01 011","18 444566 5012781 W","2006-02 4006","","","","","","1536516 (Z40119) A036331 A",""
" RF  01 011","18 444610 5012763 W","2006-02 4006","","","","","","1536515 (Z40112) A036332 A",""
"CUMBERLAND TOWNSHIP   ","18 468939 5038852 W","2016-01 1844","","","","","","7267745 (C33705) A193863 P",""
"CUMBERLAND TOWNSHIP   ","18 471525 5032312 W","2018-10 7417","6.11 6.03 ","UT 0066 ","16/16/11/1:","DO "," ","7320858 (Z285033) A249330","BRWN CLAY 0013 GREY CLAY SOFT 0047 GREY GRVL STNS PCKD 0049 GREY LMSN 0075 "
"CUMBERLAND TOWNSHIP   ","18 465103 5038567 W","2014-09 1558","6.23 ","UT ","55/256/3/1:20","DO "," ","7233585 (Z188557) A123491","BRWN CLAY PCKD 0012 GREY LMSN LYRD 0498 GREY LMSN LYRD 0510 "
"CUMBERLAND TOWNSHIP   ","18 465088 5038546 W","2014-08 1558","6.23 ","UT ","30/131/3/1:","DO "," ","7233584 (Z188556) A123494","BRWN CLAY SNDY PCKD 0014 GREY LMSN LYRD 0350 GREY LMSN LYRD 0351 "
"CUMBERLAND TOWNSHIP   ","18 464942 5038756 W","2014-09 1558","6.23 ","UT ","114/123/4/1:","DO "," ","7233575 (Z188564) A123493","BRWN CLAY 0004 GREY TILL PCKD 0014 GREY LMSN LYRD 0348 GREY LMSN LYRD 0351 "
"CUMBERLAND TOWNSHIP   ","18 465067 5038866 W","2014-08 1558","6.23 ","UT 0266 ","28/54/12/1:","DO "," ","7233567 (Z188576) A123498","BRWN CLAY PCKD 0014 GREY CLAY STKY 0040 GREY CLAY SNDY STNS 0045 GREY LMSN LYRD 0275 "
"CUMBERLAND TOWNSHIP   ","18 472297 5026260 W","2018-08 7417","6.11 6.03 ","UT ","","DO NU "," ","7319957 (Z285017) A062561 A",""
"CUMBERLAND TOWNSHIP   ","18 472763 5033210 W","2018-07 7526","6.11 ","FR 0060 ","15/14/10/1:","DO "," ","7318947 (Z280958) A244737","GREY CLAY SOFT 0053 GREY LMSN 0075 "
"CUMBERLAND TOWNSHIP   ","18 459817 5036394 W","2016-12 7241","1.37 ","","","MT ","0003 5  ","7280036 (Z237948)  A",""
"CUMBERLAND TOWNSHIP   ","18 473818 5022391 W","2015-09 6667","0.11 ","FR ","","DO ","0000 10 ","7266197 (Z197000) A115596","BRWN SAND LOAM 0001 GREY SILT SAND 0003 GREY SILT SAND 0010 GREY SILT SAND 0016 "
"CUMBERLAND TOWNSHIP   ","18 471655 5039332 W","2016-03 7417","6.11 6.11 ","UT 0092 ","24/40/16/1:","DO "," ","7259941 (Z221123) A193689","BRWN CLAY SILT HARD 0013 GREY CLAY HARD 0036 GREY GRVL SAND PCKD 0045 GREY LMSN LYRD 0110 "
"CUMBERLAND TOWNSHIP   ","18 461364 5037841 W","2016-07 7477","0.49 ","UT 0016 ","","MO "," ","7268067 (Z170978)  A",""
"CUMBERLAND TOWNSHIP   ","18 463682 5033492 W","2016-05 1558","","","",""," ","7270161 (Z226791) A157003 A",""
"CUMBERLAND TOWNSHIP   ","18 473040 5032038 W"," 7417","6.11 6.11 ","UT 0075 ","14/15/13/1:0","DO "," ","7241347 (Z153292) A133859","BRWN CLAY SILT HARD 0011 GREY CLAY SOFT 0069 GREY GRVL SAND PCKD 0074 GREY SHLE LYRD 0076 "
"CUMBERLAND TOWNSHIP   ","18 467560 5040066 W","2016-08 7526","6.11 ","FR 0298 ","","DO "," ","7270610 (Z236546) A207409","BRWN SAND BLDR LOOS 0018 GREY LMSN HARD 0364 "
"CUMBERLAND TOWNSHIP   ","18 468398 5040550 W","2016-11 6364","","UT UT UT ","","CO "," ","7275123 (Z224183) A204602 A",""
"CUMBERLAND TOWNSHIP   ","18 471839 5039305 W","2016-10 7417","6.11 6.11 ","UT 0066 ","12/13/15/1:","DO "," ","7275603 (Z246385) A213123","BRWN CLAY SILT HARD 0012 GREY CLAY SILT HARD 0020 GREY SHLE LYRD 0080 "
"CUMBERLAND TOWNSHIP   ","18 466412 5022231 W","2014-06 1119","6.25 6.11 ","UT 0110 ","11/59/5/1:0","DO "," ","7226481 (Z166912) A135460","BLUE CLAY SOFT 0106 GREY GRVL FGVL 0110 "
"CUMBERLAND TOWNSHIP   ","18 463769 5033409 W","2016-11 1844","","","","","","7279744 (C30046) A193756 P",""
"CUMBERLAND TOWNSHIP   ","18 463821 5033361 W","2016-04 1844","2    ","UT 0011 ","","MO ","0010 10 ","7263449 (Z227932) A193756","FILL SAND CLAY 0020 "
"CUMBERLAND TOWNSHIP   ","18 462526 5037599 W","2015-04 7241","1.59 ","","","MT ","0004 10 ","7243596 (Z207785) A168730","BLCK GRVL HARD 0001 BRWN CLAY SOFT 0005 GREY CLAY SOFT WBRG 0014 "
"CUMBERLAND TOWNSHIP   ","18 459700 5036024 W","2014-07 1844","","","","","","7242294 (C22603) A156865 P",""
"CUMBERLAND TOWNSHIP   ","18 468265 5038752 W","2015-05 7417","6.11 6.11 ","UT 0112 ","8/32/16/1:","DO "," ","7242856 (Z194798) A178225","BRWN CLAY SILT STNS 0013 GREY LMSN LYRD 0118 "
"CUMBERLAND TOWNSHIP   ","18 462892 5036681 W","2013-12 1844","","","","","","7242929 (C15811) A153986 A P",""
"CUMBERLAND TOWNSHIP   ","18 469130 5035438 W","2015-06 7453","","","/221/5/:60",""," ","7243303 (Z195515) A170853",""
"CUMBERLAND TOWNSHIP   ","18 471220 5040507 W","2015-05 1558","10.7 6.23 ","UT 0099 UT 0148 ","34/38/12/1:","DO "," ","7243372 (Z188511) A165058","BRWN CLAY PCKD 0013 GREY CLAY STKY 0023 GREY CLAY 0075 GREY LMSN 0150 "
"CUMBERLAND TOWNSHIP   ","18 474510 5036021 W","2013-11 1844","2    ","UT 0006 ","","MO ","0018 4  ","7236611 (Z171314) A147984","---- 0000 GREY FILL GRVL SAND 0001 GREY FILL SAND GRVL 0002 GREY FILL CLAY SLTY 0008 BRWN FILL SAND GRVL 0010 GREY CLAY SLTY 0025 GREY SILT 0029 GREY SAND TILL SLTY 0033 "
"CUMBERLAND TOWNSHIP   ","18 474510 5036021 W","2014-08 1844","","","","MO "," ","7236610 (Z171317) A147894 A",""
"CUMBERLAND TOWNSHIP   ","18 462707 5037508 W","2015-06 7241","2.04 ","","","MT ","0005 10 ","7243516 (Z201457) A175636","BRWN TILL SILT SOFT 0001 GREY CLAY SILT SOFT 0015 "
"CUMBERLAND TOWNSHIP   ","18 465777 5020916 W","2018-10 7417","6.11 6.03 ","UT 0089 ","32/71/3/1:","DO CO "," ","7320860 (Z300222) A249297","BRWN CLAY SILT STNS 0012 GREY CLAY SILT SOFT 0070 GREY GRVL SAND PCKD 0074 GREY SHLE 0095 "
"CUMBERLAND TOWNSHIP   ","18 462738 5037483 W","2015-06 7241","2.04 ","","","MT ","0005 10 ","7243518 (Z201458) A175632","BRWN TILL SILT SOFT 0001 GREY CLAY SILT SOFT 0015 "
"CUMBERLAND TOWNSHIP   ","18 468338 5039591 W","2016-03 1517","6.25 ","UT 0330 ","2/10/5/1:","DO "," ","7260530 (Z195584) A170942","BRWN CLAY 0011 GREY GRVL SAND 0033 GREY LMSN 0340 "
"CUMBERLAND TOWNSHIP   ","18 462512 5037629 W","2015-04 7241","1.59 ","","","MT ","0004 10 ","7243597 (Z207782) A168731","GREY GRVL HARD  DRY 0001 BRWN CLAY SOFT 0007 GREY CLAY SOFT WBRG 0014 "
"CUMBERLAND TOWNSHIP   ","18 462474 5037619 W","2015-04 7241","1.59 ","","","MT ","0006 10 ","7243598 (Z207781) A168732","GREY GRVL HARD  DRY 0001 BRWN CLAY SOFT 0006 GREY CLAY SOFT 0008 GREY CLAY SOFT WBRG 0016 "
"CUMBERLAND TOWNSHIP   ","18 471983 5039226 W","2015-07 6006","2.13 2.19 ","FR ","/20/9/1:30","DO "," ","7246392 (Z197751) A173272","BRWN CLAY SOFT 0013 GREY CLAY SOFT 0026 GREY LMSN HARD 0159 "
"CUMBERLAND TOWNSHIP   ","18 467939 5040570 W","2018-06 6907","","","",""," ","7323322 (Z257007) A225764",""
"CUMBERLAND TOWNSHIP   ","18 472553 5038413 W","2014-12 7526","6.25 1    ","","24/25/10/1:",""," ","7234367 (Z183411) A159661","SAND 0004 CLAY 0043 ROCK 0066 "
"CUMBERLAND TOWNSHIP   ","18 467553 5039831 W","2018-10 7417","15.5 15.3 15.3 ","","","DO "," ","7323016 (Z300231) A249344","GREY LMSN LYRD 0084 "
"CUMBERLAND TOWNSHIP   ","18 476381 5030013 W","2015-12 6632","36   ","FR ","","DO "," ","7256839 (Z189354) A165916","BRWN LOAM 0001 GREY SAND 0002 GREY CLAY 0024 "
"CUMBERLAND TOWNSHIP   ","18 463965 5035624 W","2016-09 1119","","","",""," ","7272952 (Z237003)  A",""
"CUMBERLAND TOWNSHIP   ","18 462697 5037468 W","2015-06 7241","2.04 ","","","MT ","0005 10 ","7243517 (Z201459) A175637","BRWN TILL SILT SOFT 0001 GREY CLAY SILT SOFT 0015 "
"CUMBERLAND TOWNSHIP   ","18 471837 5039381 W","2017-12 7417","6.11 6.03 ","UT 0102 ","11/38/10/1:","DO "," ","7302699 (Z276164) A236218","BRWN SAND SILT 0013 GREY CLAY SILT 0023 GREY GRVL STNS 0028 GREY SHLE 0120 "
"CUMBERLAND TOWNSHIP   ","18 470713 5039926 W","2017-09 6378","6.25 ","","","DO "," ","7295150 (Z256897) A225651",""
"CUMBERLAND TOWNSHIP   ","18 470420 5039661 W","2017-09 3749","","","",""," ","7297243 (Z268684)  A",""
"CUMBERLAND TOWNSHIP   ","18 470423 5039666 W","2017-09 3749","6.13 ","UT 0180 UT 0245 ","94/130/5/1:0","DO "," ","7297242 (Z182592) A158821","GREY CLAY 0061 GREY GRVL 0075 LMSN 0237 GREY LMSN 0262 GREY LMSN 0305 "
"CUMBERLAND TOWNSHIP   ","18 464637 5035152 W","2014-07 7241","5.19 ","","","MT "," ","7226782 (Z187833)  A",""
"CUMBERLAND TOWNSHIP   ","18 462328 5037619 W","2013-05 1844","2    ","0003 ","","MO ","0005 5  ","7230088 (Z171279) A147951","LOAM 0000 GREY FILL SILT SAND 0002 GREY SILT CLAY HARD 0010 GREY SILT CLAY HARD 0015 "
"CUMBERLAND TOWNSHIP   ","18 464623 5035157 W","2014-07 7241","2.04 ","","","MT "," ","7226781 (Z188320)  A",""
"CUMBERLAND TOWNSHIP   ","18 467570 5040053 W","2016-06 7526","6.11 ","SA 0481 ","",""," ","7270604 (Z236507) A200065","BRWN SAND BLDR LOOS 0018 GREY LMSN HARD 0487 "
"CUMBERLAND TOWNSHIP   ","18 471594 5027312 W","2017-10 7417","6.11 6.03 ","UT 0039 ","11/19/1/1:","DO "," ","7298415 (Z259725) A236196","BRWN MSND STNS SILT 0011 GREY LMSN LYRD 0088 "
"CUMBERLAND TOWNSHIP   ","18 464091 5028305 W","2017-03 3749","6.11 ","UT 0240 UT 0335 ","","DO "," ","7298553 (Z182584)  A","GREY CLAY PCKD 0047 GREY CLAY GRVL 0050 BLCK SHLE SOFT 0210 GREY SHLE 0275 BLCK SHLE SOFT 0340 "
"CUMBERLAND TOWNSHIP   ","18 463994 5035688 W","2017-08 1844","2    ","UT 0004 ","","","0013 10 ","7314627 (Z245033) A183837","GRVL 0001 CLAY 0023 "
"CUMBERLAND TOWNSHIP   ","18 472529 5029777 W","2014-08 7241","1.59 ","","","MT ","0005 10 ","7227760 (Z193840) A165591","BRWN LOAM SOFT 0001 GREY CLAY SAND SOFT 0005 BRWN CLAY SAND SOFT 0012 GREY CLAY 0015 "
"CUMBERLAND TOWNSHIP   ","18 473024 5020189 W","2017-04 1844","","","","","","7296898 (C30097) A193880 P",""
"CUMBERLAND TOWNSHIP   ","18 472534 5029755 W","2014-08 7241","1.59 ","","","MT ","0004 10 ","7227758 (Z193839) A165592","BRWN LOAM SOFT 0001 BRWN CLAY SAND SOFT 0012 GREY CLAY SOFT 0014 "
"CUMBERLAND TOWNSHIP   ","18 464947 5038349 W","2017-12 7526","6.11 ","FR ","92/176/3/:50","DO "," ","7302864 (Z252236) A209571","BRWN CLAY SOFT 0008 GREY CLAY SOFT 0014 GREY GRVL SAND 0024 GREY LMSN HARD 0398 "
"CUMBERLAND TOWNSHIP   ","18 466095 5038425 W","2017-12 7417","6.11 6.03 ","UT 0062 ","3/3/15/4:20","DO ","","7305109 (Z276170) A236222","BRWN CLAY SILT HARD 0013 GREY LMSN LYRD 0080 "
"CUMBERLAND TOWNSHIP   ","18 461551 5031663 W","2018-04 1844","","","","","","7315268 (C40376) A215113 P",""
"CUMBERLAND TOWNSHIP   ","18 471232 5039792 W","2018-04 6907","","","",""," ","7309086 (Z91834) A225767",""
"CUMBERLAND TOWNSHIP   ","18 464641 5035173 W","2014-07 7241","8    ","","",""," ","7226786 (Z187836)  A",""
"CUMBERLAND TOWNSHIP   ","18 464641 5035175 W","2014-07 7241","1.59 ","","","MT "," ","7226785 (Z187835)  A",""
"CUMBERLAND TOWNSHIP   ","18 464625 5035178 W","2014-07 7241","2.04 ","","","MT "," ","7226784 (Z187834)  A",""
"CUMBERLAND TOWNSHIP   ","18 464627 5035150 W","2014-07 7241","2.04 ","","","MT "," ","7226783 (Z187832)  A",""
"CUMBERLAND TOWNSHIP   ","18 469017 5038688 W","2017-11 6163","","","",""," ","7299666 (Z187501) A164114",""
"CUMBERLAND TOWNSHIP   ","18 464746 5039021 W","2017-07 6378","6.25 ","FR ","","DO "," ","7290546 (Z256894) A225653",""
"CUMBERLAND TOWNSHIP   ","18 459817 5036345 W","2016-12 7241","1.37 ","","","MT ","0003 5  ","7280037 (Z237967)  A",""
"CUMBERLAND TOWNSHIP   ","18 471983 5039285 W","2016-12 7417","6.11 6.11 ","UT 0108 ","25/97/15/1:","DO "," ","7280823 (Z2464303) A213174","BRWN CLAY SILT HARD 0013 GREY CLAY SILT SOFT 0042 GREY GRVL SAND PCKD 0064 GREY LMSN LYRD 0115 "
"CUMBERLAND TOWNSHIP   ","18 467747 5040758 W","2017-07 7526","6.11 ","FR 0023 ","38/46/12/1:0","DO "," ","7294924 (Z252201) A209540","BRWN CLAY BLDR LOOS 0010 GREY LMSN HARD 0129 "
"CUMBERLAND TOWNSHIP   ","18 471358 5039163 W","2017-04 7417","6.11 6.03 ","UT 0085 UT 0056 ","9/10/15/1:","DO "," ","7286899 (Z246338) A213189","BRWN SAND SILT STNS 0010 GREY SAND SILT HARD 0013 GREY LMSN LYRD 0100 0223 "
"CUMBERLAND TOWNSHIP   ","18 461001 5032690 W","2017-06 7241","1.59 ","","","TH MO ","0005 10 ","7291135 (Z215089) A190013","GREY CLAY LOAM DNSE 0003 GREY CLAY SILT SOFT 0007 GREY CLAY SILT SOFT 0015 "
"CUMBERLAND TOWNSHIP   ","18 472549 5030128 W","2014-09 6006","10   6.11 ","FR 0054 ","19/21/10/1:30","DO "," ","7229007 (Z195528) A170876","RED  CLAY SOFT 0006 GREY CLAY SOFT 0042 GREY GRVL SOFT 0048 BLCK SHLE SOFT 0054 GREY LMSN HARD 0060 "
"CUMBERLAND TOWNSHIP   ","18 466534 5040173 W","2017-06 7417","","","","DO "," ","7290843 (Z259655)  A",""
"CUMBERLAND TOWNSHIP   ","18 474442 5024678 W","2017-06 7417","6.11 6.03 ","UT 0095 ","17/54/11/1:","ST "," ","7290841 (Z246346) A227480","BRWN MSND SILT HARD 0010 GREY MSND FSND HARD 0029 BRWN SHLE LYRD 0107 "
"CUMBERLAND TOWNSHIP   ","18 468080 5039681 W","2018-05 7638","","","",""," ","7312443 (Z288916) A249263",""
"CUMBERLAND TOWNSHIP   ","18 466387 5038721 W","2017-07 7417","6.11 6.03 ","UT 0279 ","11/79/3/1:","DO "," ","7290839 (Z259664) A227538","BRWN CLAY SILT STNS 0005 GREY LMSN LYRD 0318 "
"CUMBERLAND TOWNSHIP   ","18 464275 5039774 W","2017-06 6378","","","","DO "," ","7289387 (Z256893) A225657",""
"CUMBERLAND TOWNSHIP   ","18 463766 5033511 W","2020-04 7241","2.06 ","","","MT ","0005 10 ","7358957 (Z333512) A274784","BLCK LOAM SOFT 0001 GREY GRVL CLAY HARD 0005 BRWN CLAY SILT SOFT 0010 GREY CLAY SILT SOFT 0015 "
"CUMBERLAND TOWNSHIP   ","18 474668 5036002 W","2019-09 7543","1.37 ","UT 0020 ","","MO ","0015 10 ","7344664 (Z286454) A247985","BLCK ---- 0000 BRWN GRVL LOOS 0005 GREY CLAY DNSE SOFT 0022 GREY SAND SLTY DNSE 0025 "
"CUMBERLAND TOWNSHIP   ","18 467965 5040425 W","2020-03 7241","1.59 ","","","MT ","0005 10 ","7358937 (Z333513) A287592","BLCK ---- GRVL DNSE 0001 BRWN CLAY SILT SOFT 0005 GREY CLAY SILT SOFT 0015 "
"CUMBERLAND TOWNSHIP   ","18 467990 5040431 W","2020-03 7241","1.59 ","","","MT ","0005 10 ","7358938 (Z333516) A287595","BLCK ---- GRVL DNSE 0001 BRWN CLAY SILT SOFT 0005 GREY CLAY SILT SOFT 0015 "
"CUMBERLAND TOWNSHIP   ","18 462684 5032290 W","2020-04 7241","1.36 ","","","MT ","0005 10 ","7358947 (Z333517) A282294","BRWN LOAM SOFT 0001 BRWN CLAY SILT SOFT 0006 GREY CLAY SILT SOFT 0015 "
