"TOWNSHIP CON LOT","UTM","DATE CNTR","CASING DIA","WATER","PUMP TEST","WELL USE","SCREEN","WELL","FORMATION"
"OTTAWA CITY   ","18 437101 5023332 W","1954-09 1802","2    2    ","FR 0058 ","4/15/3/2:0","DO ","","1508061 () ","CLAY 0030 GRVL BLDR 0040 LMSN 0060 "
"OTTAWA CITY   ","18 437146 5023392 W","1953-02 1107","4    4    ","FR 0061 ","8/8/2/1:0","DO ","","1508060 () ","LOAM 0002 BLUE CLAY 0040 OBDN 0061 "
"OTTAWA CITY   ","18 440871 5024872 W","1954-10 3718","4    4    ","FR 0060 ","10/10/100/1:0","DO ","","1508091 () ","LOAM SHLE 0008 LMSN 0060 SNDS 0140 "
"OTTAWA CITY   ","18 448556 5026552 W","1952-03 3725","5    5    ","SU 0080 ","8///0:30","DO ","","1508067 () ","BLUE CLAY 0001 BLUE SHLE 0128 "
"OTTAWA CITY   ","18 448186 5024952 W","1951-07 3725","4    4    ","SU 0035 SU 0125 ","50/50/4/1:0","DO ","","1508082 () ","LOAM 0004 SHLE 0235 "
"OTTAWA CITY   ","18 440416 5025662 W","1951-05 4216","5    5    ","FR 0029 ","12//4/0:20","DO ","","1508160 () ","CLAY 0040 CLAY MSND BLDR 0063 "
"OTTAWA CITY   ","18 440911 5024722 W","1954-09 3725","4    4    ","FR 0165 ","13/18/5/:","DO ","","1508089 () ","CLAY 0010 LMSN 0069 LMSN SHLE 0082 LMSN 0105 LMSN SHLE 0160 SNDS 0165 "
"OTTAWA CITY   ","18 440871 5024902 W","1954-09 3725","4    4    ","FR 0043 ","9/13/4/:","DO ","","1508088 () ","CLAY 0009 LMSN 0043 LMSN SHLE 0098 LMSN 0105 LMSN SHLE 0145 "
"OTTAWA CITY   ","18 440961 5024842 W","1954-08 3725","4    4    ","FR 0145 ","142/145//:","NU ","","1508087 ()  A","CLAY 0004 LMSN 0043 LMSN SHLE 0058 LMSN 0083 LMSN SHLE 0108 SNDS 0113 LMSN SHLE 0145 "
"OTTAWA CITY   ","18 440961 5024882 W","1954-08 3725","4    4    ","FR 0140 ","11/15/5/:","DO ","","1508086 () ","CLAY 0003 LMSN 0068 LMSN SHLE 0088 SNDS 0109 LMSN SHLE 0140 "
"OTTAWA CITY   ","18 440961 5024862 W","1954-07 3725","4    4    ","FR 0039 ","10/14//:","DO ","","1508085 () ","CLAY 0003 LMSN 0031 LMSN SHLE 0072 LMSN 0125 "
