"SCREEN_ID","WELL_ID","PIPE_ID","Layer","Slot","SCRN_TOP_DEPTH","SCRN_END_DEPTH","SCRN_MATERIAL","SCRN_DEPTH_UOM","SCRN_DIAMETER_UOM","SCRN_DIAMETER"
1006583107,"7281262",1006583097,,,,,,"ft","inch",
1006584974,"7281313",1006584961,,,,,,"ft","inch",
1006594103,"7281513",1006594098,,,,,,"m","cm",
1006594111,"7281514",1006594106,,,,,,"ft","inch",
1006594130,"7281515",1006594125,,,,,,"m","cm",
1006600505,"7281787",1006600497,1,"16",2.13,5.13,"5","m","cm",6.03
1006600519,"7281788",1006600512,1,"10",3.23,6.28,"5","m","cm",6.03
1006600534,"7281789",1006600526,1,"10",1.22,3.96,"5","m","cm",4.82
1006600549,"7281790",1006600541,1,"10",8.53,11.58,"5","m","cm",4.82
1006600707,"7281798",1006600698,1,"10",7.00,8.50,"5","m","cm",6.03
1006600721,"7281799",1006600714,1,"10",1.22,4.27,"5","m","cm",6.03
1006600737,"7281800",1006600728,1,"10",13.70,15.24,"5","ft","inch",6.03
1006600923,"7281808",1006600915,1,"10",3.23,6.28,"5","m","cm",4.82
1006602477,"7281848",1006602470,1,"10",2.13,5.13,"5","m","cm",6.03
1006602886,"7281849",1006602879,1,"10",2.13,5.13,"5","ft","inch",6.03
1006602901,"7281850",1006602893,1,"10",1.50,4.57,"5","m","cm",6.03
1006603041,"7281856",1006603034,1,"10",3.35,6.40,"5","m","cm",6.03
1006603856,"7281887",1006603848,1,"10",4.57,7.62,"5","m","cm",4.82
1006603877,"7281888",1006603869,1,"10",4.57,7.62,"5","m","cm",4.82
1006604963,"7281932",1006604956,1,"10",1.52,4.57,"5","m","cm",4.82
1006604977,"7281933",1006604970,1,"10",1.52,4.57,"5","m","cm",4.82
1006614023,"7282203",1006614018,1,,5.00,15.00,"5","m","cm",2.00
1006581364,"7282743",1006581358,,,,,,"m","cm",
1006583995,"7282847",1006583988,1,"10",1.50,3.10,"5","m","cm",6.03
1006584009,"7282848",1006584002,1,"10",1.22,2.74,"5","m","cm",6.03
1006584120,"7282849",1006584113,1,"10",1.22,2.74,"5","m","cm",6.03
1006584772,"7282860",1006584765,1,"10",2.74,5.79,"5","m","cm",4.82
1006584825,"7282861",1006584817,1,"10",2.74,5.79,"5","m","cm",4.82
1006584881,"7282862",1006584873,1,"10",2.74,5.79,"5","m","cm",4.82
1006585232,"7282868",1006585225,1,"10",2.08,5.18,"5","m","cm",4.82
1006585256,"7282869",1006585249,1,"10",1.47,4.57,"5","m","cm",4.82
1006585281,"7282870",1006585274,1,"10",2.08,5.18,"5","m","cm",4.82
1006585308,"7282871",1006585301,1,"10",2.08,5.18,"5","m","cm",4.82
