cop_band,cm_band,capacity_band,cell_appearances,cell_share_pct,cell_models,rank,ahri_number,ers_appearances,Use,brand,outdoor_model,Spec sheet,page,note,indoor_model,furnace_model,ahri_cop_5f,ahri_capacity_maintenance,ahri_rated_cap_47f_btuh,hspf2_region_iv,hspf2_region_v,cert_status,ahri_cold_climate,ahri_product_group,nrcan_listed,nrcan_brand,es_listed,es_most_efficient,es_cold_climate,es_refrigerant,compressor_staging,implausible_rating,source_url
COP>2.0,0.60<=cm<0.80,30-42k,5874,1.85,266,1,207036468,668,,HAXXAIR,HVHD-36E2D2,,,no held PDF mentions this model,HAHD-36E2D2,,2.05,0.7647,34000,9.5,6.82,Active,Yes,ccASHP,yes,HAXXAIR,yes,Yes,Yes,R-410A,Continuously variable,,
COP>2.0,0.60<=cm<0.80,30-42k,5874,1.85,266,2,207036642,436,,ZEPHYR,ZE-36HPB,,,no held PDF mentions this model,AH-36B,,2.05,0.7647,34000,9.5,6.82,Active,Yes,ccASHP,yes,ZEPHYR,yes,Yes,Yes,R-410A,Continuously variable,,
COP>2.0,0.60<=cm<0.80,30-42k,5874,1.85,266,3,206903535,253,,HISENSE,AUWR-36U3SA2,,,no held PDF mentions this model,AUH-36UX3SDH2,,2.05,0.7647,34000,9.5,6.82,Active,Yes,ccASHP,yes,HISENSE,yes,Yes,Yes,R-410A,Continuously variable,,
COP>2.0,0.60<=cm<0.80,>=42k,569,0.18,100,1,217115269,26,,Gridless,GRID48OC,,,no held PDF mentions this model,GRID48VAH,,2.52,0.7708,48000,9,7.2,Active,Yes,ccASHP,yes,GRIDLESS,yes,Yes,Yes,R-454B,Continuously variable,,
COP>2.0,0.60<=cm<0.80,>=42k,569,0.18,100,2,211661501,8,,DAIKIN,RXTQ48TBVJU*,,,no held PDF mentions this model,,,2.05,0.7304,46000,8.3,,Active,No,,no,,no,,,,,,
COP>2.0,0.60<=cm<0.80,>=42k,569,0.18,100,3,211661503,7,,DAIKIN,RXTQ48TBVJU*,,,no held PDF mentions this model,,,2.17,0.7191,47000,8.9,6.6,Active,No,ccASHP,yes,DAIKIN,no,,,,,,
COP>2.0,cm>=0.80,<18k,14579,4.6,73,1,214888802,101,,FUJITSU,AOUH12KZAH1,FUJITSU_AOUH12KZAH1_spec.pdf,2,Can use ASUH12KZAS in page 26 of the PDF (noted page 20),ASUH12KZAS,,2.16,1.0375,16000,12.7,10.1,Active,Yes,ccASHP,yes,FUJITSU,yes,Yes,Yes,R-32,Continuously variable,,
COP>2.0,cm>=0.80,<18k,14579,4.6,73,2,217101974,80,,Gridless,GRID12OHHV,,,no held PDF mentions this model,GRID12WHHV,,2.25,1,12200,11.8,11,Active,Yes,ccASHP,yes,GRIDLESS,yes,Yes,Yes,R-454B,Continuously variable,,
COP>2.0,cm>=0.80,<18k,14579,4.6,73,3,216411307,48,,LENNOX,MWLD015S6S-1P,,,no held PDF mentions this model,MWMD015S6-1P,,2.5,1.04,15000,11,8.5,Active,Yes,ccASHP,yes,LENNOX,yes,Yes,Yes,R-32,Continuously variable,,
COP>2.0,cm>=0.80,18-30k,11594,3.66,409,1,208786090,747,,GREE,GWHD(24)ND3MO,GREE_GWHD24ND3MO.pdf,1,AHRI number printed in doc — combination confirmed; rated points only — NOT a curve,,,2.1,0.9,24000,10,8,Active,Yes,ccASHP,yes,GREE,yes,Yes,Yes,R-410A,Continuously variable,,
COP>2.0,cm>=0.80,18-30k,11594,3.66,409,2,211164240,611,,TOSOT,TM24HX4O,,,no held PDF mentions this model,,,2.1,0.9,24000,10,8,Active,Yes,ccASHP,yes,TOSOT,yes,Yes,Yes,R-410A,Continuously variable,,
COP>2.0,cm>=0.80,18-30k,11594,3.66,409,3,210534128,433,,ACD,MPD24KCH21SB-O,,,no held PDF mentions this model,,,2.1,0.9,24000,10,8,Active,Yes,ccASHP,yes,ACD,yes,Yes,Yes,R-410A,Continuously variable,,
COP>2.0,cm>=0.80,30-42k,2743,0.87,91,1,214931588,139,,GREE,GWHD(30)ND6MO,,,no held PDF mentions this model,,,2.07,0.9,30000,10,8,Active,Yes,ccASHP,yes,GREE,yes,Yes,Yes,R-32,Continuously variable,,
COP>2.0,cm>=0.80,30-42k,2743,0.87,91,2,217115268,97,,Gridless,GRID36OC,,,no held PDF mentions this model,GRID36VAH,,2.15,0.9688,32000,10.5,8.4,Active,Yes,ccASHP,yes,GRIDLESS,yes,Yes,Yes,R-454B,Continuously variable,,
COP>2.0,cm>=0.80,30-42k,2743,0.87,91,3,214931589,82,,GREE,GWHD(36)ND6MO,,,no held PDF mentions this model,,,2.1,1,36000,10,8,Active,Yes,ccASHP,yes,GREE,yes,Yes,Yes,R-32,Continuously variable,,
COP>2.0,cm>=0.80,>=42k,406,0.13,26,1,205788777,192,,LG,LUU480HHV,,,no held PDF mentions this model,LVN480HV,,2.25,0.81,50000,9.4,7.6,Active,Yes,ccASHP,yes,LG,yes,Yes,Yes,R-410A,Continuously variable,,
COP>2.0,cm>=0.80,>=42k,406,0.13,26,2,205788776,123,,LG,LUU420HHV,,,no held PDF mentions this model,LVN420HV,,2.27,0.8333,48000,9.45,7.75,Active,Yes,ccASHP,yes,LG,yes,Yes,Yes,R-410A,Continuously variable,,
COP>2.0,cm>=0.80,>=42k,406,0.13,26,3,214931590,24,,GREE,GWHD(42)ND6MO,,,no held PDF mentions this model,,,2.1,0.9,42000,10,8,Active,Yes,ccASHP,yes,GREE,yes,Yes,Yes,R-32,Continuously variable,,
