cop_band,cm_band,capacity_band,cell_appearances,cell_share_pct,cell_models,rank,ahri_number,ers_appearances,Use,brand,outdoor_model,Spec sheet,page,note,indoor_model,furnace_model,ahri_cop_5f,ahri_capacity_maintenance,ahri_rated_cap_47f_btuh,hspf2_region_iv,hspf2_region_v,cert_status,ahri_cold_climate,ahri_product_group,nrcan_listed,nrcan_brand,es_listed,es_most_efficient,es_cold_climate,es_refrigerant,compressor_staging,implausible_rating,source_url
1.8<COP<=2.0,0.60<=cm<0.80,<18k,5161,1.63,72,3,206839099,334,,GREE,3VIR12HP230V1AO,,,no held PDF mentions this model,3VIR12HP230V1AH,,1.93,0.7667,12000,9,7.5,Active,No,ccASHP,yes,GREE,yes,No,No,R-410A,Continuously variable,,
1.8<COP<=2.0,0.60<=cm<0.80,18-30k,15201,4.79,447,1,207641274,388,,NOVAIR,LEA27MZ-3P-25SK-O,,,no held PDF mentions this model,,,2,0.6786,28000,9.2,7,Active,No,ccASHP,yes,NOVAIR,yes,No,No,R-410A,Continuously variable,,
1.8<COP<=2.0,0.60<=cm<0.80,18-30k,15201,4.79,447,2,207642879,339,,CARRIER,38MGHBQ24CA3,,,no held PDF mentions this model,,,1.9,0.74,25000,10,7.7,Active,Yes,ccASHP,yes,CARRIER,yes,Yes,Yes,R-410A,Continuously variable,,
1.8<COP<=2.0,0.60<=cm<0.80,18-30k,15201,4.79,447,3,207641332,300,,SENVILLE,SENA/30HF/MOQ,,,no held PDF mentions this model,,,2,0.6786,28000,9.5,7.1,Active,No,ccASHP,yes,SENVILLE,yes,No,No,R-410A,Continuously variable,,
1.8<COP<=2.0,0.60<=cm<0.80,30-42k,6186,1.95,354,1,208786091,717,,GREE,GWHD(30)ND3MO,GREE_GWHD30ND3MO.pdf,1,AHRI number printed in doc — combination confirmed; rated points only — NOT a curve,,,1.84,0.76,30000,10,8,Active,Yes,ccASHP,yes,GREE,yes,Yes,Yes,R-410A,Continuously variable,,
1.8<COP<=2.0,0.60<=cm<0.80,30-42k,6186,1.95,354,2,211164241,640,,TOSOT,TM30HX4O,,,no held PDF mentions this model,,,1.84,0.76,30000,10,8,Active,Yes,ccASHP,yes,TOSOT,yes,Yes,Yes,R-410A,Continuously variable,,
1.8<COP<=2.0,0.60<=cm<0.80,30-42k,6186,1.95,354,3,210278977,221,,GREE,MULTI30HP230V1EO,,,no held PDF mentions this model,,,1.84,0.76,30000,10,8,Active,No,ccASHP,yes,GREE,yes,No,No,R-410A,Continuously variable,,
1.8<COP<=2.0,0.60<=cm<0.80,>=42k,1798,0.57,182,1,202557963,66,,GREE,GWHD(42)ND3JO,,,no held PDF mentions this model,,,1.82,0.7429,42000,8.6,7,Active,Yes,ccASHP,yes,GREE,yes,No,Yes,R-410A,Continuously variable,,
1.8<COP<=2.0,0.60<=cm<0.80,>=42k,1798,0.57,182,2,213249675,52,,Gridless,O-AYC48SD-1,,,no held PDF mentions this model,I-AYC48VAH-1,,1.9,0.6875,48000,8.5,6.87,Active,Yes,ccASHP,yes,GRIDLESS,yes,Yes,Yes,R-410A,Continuously variable,,
1.8<COP<=2.0,0.60<=cm<0.80,>=42k,1798,0.57,182,3,207036473,44,,HAXXAIR,HVHD-48E2D2,,,no held PDF mentions this model,HAHD-48E2D2,,1.9,0.6875,48000,8.5,6.87,Active,Yes,ccASHP,yes,HAXXAIR,yes,Yes,Yes,R-410A,Continuously variable,,
1.8<COP<=2.0,cm>=0.80,<18k,10371,3.27,207,1,10062019,861,,TOSOT,TW12HQ3D6DO,tosot/TOSOT_heatpump_catalogue_2022.pdf,7,normalized outdoor model match — combination NOT confirmed; rated points only — NOT a curve,TW12HQ3D6DI,,1.91,0.9836,12200,8.5,8,Active,Yes,ccASHP,yes,TOSOT,yes,Yes,Yes,R-410A,Continuously variable,,https://tosotamerica.com/wp-content/uploads/2022/05/TOSOTCAT22_EN_1mai.pdf
1.8<COP<=2.0,cm>=0.80,<18k,10371,3.27,207,2,9944776,840,,GREE,GWH12YD-D3DNA1A/O,,,no held PDF mentions this model,GWH12AAD-D3DN***/I,,1.91,0.9836,12200,8.5,8,Active,Yes,ccASHP,yes,GREE,yes,Yes,Yes,R-410A,Continuously variable,,
1.8<COP<=2.0,cm>=0.80,<18k,10371,3.27,207,3,9116197,755,,GREE,GWH12YD-D3DNA1A/O,,,no held PDF mentions this model,GWH12QD-D3DN***/I,,1.91,0.9836,12200,8.5,8,Active,Yes,ccASHP,yes,GREE,yes,Yes,Yes,R-410A,Continuously variable,,
1.8<COP<=2.0,cm>=0.80,18-30k,41469,13.08,748,1,208101910,4389,,MDV,MOD30-24HFN1-MW,mdv/MDV_MOD30-24_MitsAir_casedcoil_submittal.pdf,1,exact outdoor model string in doc — combination NOT confirmed; rated points only — NOT a curve,MAC-24HWDN1-MN0,Coils Only/Serpentins seulement,1.95,0.8,25000,9.5,7.7,Active,Yes,ccASHP,yes,MDV,yes,Yes,Yes,R-410A,Continuously variable,,https://www.mitsair.com/wp-content/uploads/2025/06/Mits-Air-Cased-Coil-Hyper-Heat-Submittal_MOD30-24_MAC24.pdf
1.8<COP<=2.0,cm>=0.80,18-30k,41469,13.08,748,2,212361759,4206,,MOOVAIR,DMA24HOS20230E7,MOOVAIR_M20_perf.pdf,1,exact outdoor model string in doc — combination NOT confirmed; has a matrix table — parse with extract_matrix_datasheet.py,CUB24HAC20BWT7A,Coils Only/Serpentins seulement,1.95,0.8,25000,9.5,7.7,Active,Yes,ccASHP,yes,MOOVAIR,yes,Yes,Yes,R-410A,Continuously variable,,
1.8<COP<=2.0,cm>=0.80,18-30k,41469,13.08,748,3,212367433,3331,,Bladex,BX30-24HPHYHA,,,no held PDF mentions this model,BLC-24HWAC1,Coils Only/Serpentins seulement,1.95,0.8,25000,9.5,7.7,Active,No,ccASHP,yes,BLADEX,no,,,,,,
1.8<COP<=2.0,cm>=0.80,30-42k,23488,7.41,538,1,207706561,1610,,MOOVAIR,DMA36HOS20230E7,MOOVAIR_M20_perf.pdf,2,ALREADY DIGITIZED — points in datasheet_points_v2.json; no manual search needed,FMA36HIAHUU230X7,,1.97,0.86,40000,9.5,7.8,Active,Yes,ccASHP,yes,MOOVAIR,yes,Yes,Yes,R-410A,Continuously variable,,
1.8<COP<=2.0,cm>=0.80,30-42k,23488,7.41,538,2,212361760,1596,,MOOVAIR,DMA30HOS20230E7,MOOVAIR_M20_perf.pdf,2,exact outdoor model string in doc — combination NOT confirmed; has a matrix table — parse with extract_matrix_datasheet.py,CUB36HAC20CWT7A,Coils Only/Serpentins seulement,1.85,0.8182,33000,9.7,7.7,Active,Yes,ccASHP,yes,MOOVAIR,yes,No,Yes,R-410A,Continuously variable,,
1.8<COP<=2.0,cm>=0.80,30-42k,23488,7.41,538,3,208101911,1227,,MDV,MOD30U-30HFN1-MR0(X),,,no held PDF mentions this model,MAC-36HWDN1-MN0,Coils Only/Serpentins seulement,1.85,0.8182,33000,9.7,7.7,Active,Yes,ccASHP,yes,MDV,yes,No,Yes,R-410A,Continuously variable,,
