WEATHERLOC,n_evaluations,top_prov,map_name,map_prov,matched_via,lat,lon,HDD_18C,design_heating_db_C,design_cooling_db_C,design_cooling_wb_C
"STAVELY,ALBERTA",2268,AB,STAVELY,AB,exact,50.18,-113.8800139751623,4743.0,-24.9,27.2,17.6
"COBOURG,ONTARIO",2221,ON,COBOURG,ON,exact,43.95,-78.17000302082285,3931.0,-19.4,25.7,22.3
"BANCROFT,ONTARIO",2216,ON,BANCROFT,ON,exact,45.07,-77.88000302544225,4913.0,-28.7,29.1,22.4
"NELSON,BRITISH COLUMBIA",2190,BC,NELSON,BC,exact,49.49,-117.31001448319451,3482.0,-11.2,32.8,20.6
"ROBERVAL,QUEBEC",2171,QC,ROBERVAL,QC,exact,48.52,-72.27000143901553,5527.0,-29.8,27.4,21.1
"SMITHERS,BRITISH COLUMBIA",2164,BC,SMITHERS,BC,exact,54.83,-127.18001792732257,4975.0,-24.0,27.2,17.4
"WILLIAMS LAKE,BRITISH COLUMBIA",2160,BC,WILLIAMS LAKE,BC,exact,52.18,-122.05001613689139,4869.0,-26.1,28.3,16.0
"NORTH CAPE,PRINCE EDWARD ISLAND",2143,PE,NORTH CAPE,PE,exact,47.06,-63.9999984426975,4428.0,-18.1,25.8,22.0
"ST-STEPHEN,NEW BRUNSWICK",2132,NB,ST-STEPHEN,NB,exact,45.22,-67.24999947624617,4406.0,-23.0,29.1,22.0
"WESTERN HEAD,NOVA SCOTIA",2106,NS,WESTERN HEAD,NS,exact,43.99,-64.65999853586816,4020.0,-15.1,23.9,19.4
"HOWE SOUND - PAM ROCKS,BRITISH COLUMBIA",2087,BC,HOWE SOUND - PAM ROCKS,BC,exact,49.49,-123.30001553184398,2627.0,-2.0,24.1,19.3
"STEPHENVILLE,NEWFOUNDLAND",2076,,STEPHENVILLE,NL,exact,48.53,-58.54999655681975,4556.0,-13.9,23.3,19.4
"BANFF,ALBERTA",2075,AB,BANFF,AB,exact,51.19,-115.55001460452084,5565.0,-28.4,27.9,15.3
"WHITEHORSE,YUKON TERRITORY",2053,YK,WHITEHORSE,YT,exact,60.71,-135.07002200968327,6522.0,-36.4,23.9,14.9
"PENTICTON,BRITISH COLUMBIA",2043,BC,PENTICTON,BC,exact,49.46,-119.60001489977242,3266.0,-12.3,33.5,20.0
"NEW CARLISLE,QUEBEC",2036,QC,NEW CARLISLE ,QC,exact,48.01,-65.32999895777458,4982.0,-21.7,25.5,21.0
"BROADVIEW,SASKATCHEWAN",2012,SK,BROADVIEW,SK,exact,50.37,-102.57001130892792,5720.0,-31.9,28.9,21.5
"ELK ISLAND,ALBERTA",1965,AB,ELK ISLAND,AB,exact,53.68,-112.87001480377404,5435.0,-30.4,28.1,20.0
"ROUYN,QUEBEC",1932,QC,ROUYN,QC,exact,48.25,-79.03000373054533,5635.0,-30.7,28.1,20.9
"ROCKY MOUNTAIN HOUSE,ALBERTA",1778,AB,ROCKY MTN HOUSE,AB,alias:abbreviated,52.42,-114.9100148430431,5819.0,-29.9,26.8,18.2
"BRIER ISLAND,NOVA SCOTIA",1737,NS,BRIER ISLAND,NS,exact,44.29,-66.34999912307573,3735.0,-12.2,21.0,18.6
"VAL-D'OR,QUEBEC",1709,QC,VAL-D'OR,QC,exact,48.06,-77.79000329170246,5782.0,-31.9,28.1,21.2
"YELLOWKNIFE,N.W.T.",1641,NT,YELLOWKNIFE,NT,name-only,62.46,-114.44001936965242,7856.0,-39.2,25.7,17.5
"LACOMBE,ALBERTA",1617,AB,LACOMBE,AB,exact,52.45,-113.76001460333853,5504.0,-29.7,28.0,20.2
"CAMROSE,ALBERTA",1605,AB,CAMROSE,AB,exact,53.03,-112.81001457597047,5587.0,-30.9,28.1,20.6
"FORT ST. JOHN,BRITISH COLUMBIA",1591,BC,FORT ST JOHN,BC,exact,56.24,-120.74001744027903,5680.0,-31.0,26.2,17.3
"KENORA,ONTARIO",1524,ON,KENORA,ON,exact,49.79,-94.36000886042022,5469.0,-30.5,28.5,21.8
"STE-CLOTHILDE,QUEBEC",1491,QC,STE-CLOTHILDE,QC,exact,45.17,-73.68000164659357,4332.0,-24.7,29.7,23.6
"EAST POINT,PRINCE EDWARD ISLAND",1430,PE,EAST POINT,PE,exact,46.46,-61.989997714582294,4354.0,-17.3,24.0,21.2
"WHISTLER,BRITISH COLUMBIA",1393,BC,WHISTLER - NESTERS,BC,prefix,50.13,-122.95001565543555,4178.0,-15.8,30.4,17.6
"QUESNEL,BRITISH COLUMBIA",1304,BC,QUESNEL,BC,exact,53.03,-122.5100165040942,4586.0,-26.3,29.6,18.2
"POINTE CLAVEAU,QUEBEC",1198,QC,POINTE CLAVEAU,QC,exact,48.26,-70.11000066025831,5123.0,-25.8,25.7,20.4
"BAIE-COMEAU,QUEBEC",1192,QC,BAIE-COMEAU,QC,exact,49.26,-68.15000003876786,5494.0,-26.3,24.7,19.2
"ÎLES DE LA MADELEINE,QUEBEC",1161,QC,ÎLES DE LA MADELEINE,QC,exact,47.43,-61.76999767119228,4494.0,-14.7,23.3,20.4
"OSOYOOS,BRITISH COLUMBIA",1133,BC,OSOYOOS,BC,exact,49.03,-119.44001475777166,3070.0,-12.1,35.4,20.9
"SQUAMISH AIRPORT,BRITISH COLUMBIA",1119,BC,SQUAMISH AIRPORT,BC,exact,49.78,-123.16001559067382,3172.0,-7.1,28.8,19.4
"COLD LAKE,ALBERTA",1085,AB,COLD LAKE,AB,exact,54.42,-110.23001442934968,5701.0,-31.8,28.1,19.9
"DAUPHIN,MANITOBA",1048,MB,DAUPHIN,MB,exact,51.1,-100.05001078937141,5640.0,-30.5,29.3,22.7
"ARMSTRONG,ONTARIO",1015,ON,ARMSTRONG,ON,exact,50.29,-88.91000727176828,6462.0,-35.2,28.6,21.2
"SALMON ARM,BRITISH COLUMBIA",973,BC,SALMON ARM,BC,exact,50.7,-119.29001518972728,3595.0,-16.5,32.2,22.0
"LA TUQUE,QUEBEC",956,QC,LA TUQUE,QC,exact,47.41,-72.79000152446385,5396.0,-31.5,29.3,21.7
"PRINCE RUPERT,BRITISH COLUMBIA",932,BC,PRINCE RUPERT,BC,exact,54.29,-130.440018147448,3684.0,-8.1,18.1,15.5
"GASPÉ,QUEBEC",887,QC,GASPÉ,QC,exact,48.78,-64.47999869448287,5263.0,-23.8,27.2,20.8
"YELLOWKNIFE,NORTHWEST TERRITORIES",873,NT,YELLOWKNIFE,NT,exact,62.46,-114.44001936965242,7856.0,-39.2,25.7,17.5
"MONT JOLI,QUEBEC",826,QC,MONT JOLI ,QC,exact,48.61,-68.21000001528897,5100.0,-22.9,26.3,20.7
"POINT LEPREAU,NEW BRUNSWICK",825,NB,POINT LEPREAU,NB,exact,45.07,-66.44999919504895,4255.0,-19.0,22.1,18.3
"BAIE-COMEAU A,QUEBEC",816,QC,BAIE-COMEAU A,QC,exact,49.13,-68.20000004745648,5600.0,-26.4,23.7,19.1
"FORT MCMURRAY,ALBERTA",806,AB,FORT MCMURRAY,AB,exact,56.65,-111.22001551091475,6133.0,-35.3,28.6,19.0
"SEPT ILES,QUEBEC",767,QC,SEPT-ÎLES,QC,exact,50.22,-66.26999942428506,5924.0,-27.6,22.7,18.0
"CHARLEVOIX,QUEBEC",765,QC,CHARLEVOIX,QC,exact,47.28,-70.64000077270339,6221.0,-28.8,23.6,19.7
"PORT HARDY,BRITISH COLUMBIA",765,BC,PORT HARDY,BC,exact,50.68,-127.37001647882553,3451.0,-3.0,19.9,16.1
"FORT ST JOHN,BRITISH COLUMBIA",687,BC,FORT ST JOHN,BC,exact,56.24,-120.74001744027903,5680.0,-31.0,26.2,17.3
"KAPUSKASING,ONTARIO",687,ON,KAPUSKASING,ON,exact,49.41,-82.47000502957331,6011.0,-33.1,28.5,21.4
"ST-LAWRENCE,NEWFOUNDLAND AND LABRADOR",683,,ST-LAWRENCE,NL,exact,46.92,-55.379995408434176,4373.0,-11.6,22.3,19.5
"THREE HILLS,ALBERTA",678,AB,THREE HILLS,AB,exact,51.77,-113.21001427740839,5260.0,-28.4,28.8,20.0
"CAP-MADELEINE,QUEBEC",657,QC,CAP-MADELEINE,QC,exact,49.25,-65.31999902212709,5077.0,-20.5,23.3,19.2
"SPRAGUE,MANITOBA",633,MB,SPRAGUE,MB,exact,49.02,-95.60000907915114,5521.0,-32.3,29.3,22.9
"PEACE RIVER,ALBERTA",615,AB,PEACE RIVER,AB,exact,56.23,-117.45001677422722,5901.0,-32.5,27.2,18.4
"ROUYN-NORANDA,QUEBEC",571,QC,ROUYN-NORANDA,QC,exact,48.21,-78.84000366306998,5807.0,-32.6,28.3,21.2
"WATERTON PARK GATE,ALBERTA",534,BC,WATERTON PARK GATE,AB,exact,49.13,-113.81001368998233,4656.0,-27.0,29.5,17.5
"REVELSTOKE,BRITISH COLUMBIA",532,BC,REVELSTOKE,BC,exact,50.97,-118.18001505993433,3919.0,-15.1,30.9,19.4
"CLARESHOLM,ALBERTA",531,AB,CLARESHOLM,AB,exact,50.0,-113.64001387689349,4697.0,-27.7,30.7,19.0
"POINTE NOIRE,QUEBEC",513,QC,POINTE NOIRE,QC,exact,50.16,-66.42999947862117,5318.0,-23.7,24.3,23.2
"DANIELS HARBOUR,NEWFOUNDLAND",512,,DANIELS HARBOUR,NL,exact,50.24,-57.57999623855485,5100.0,-18.1,21.2,18.6
"SUNDRE,ALBERTA",506,AB,SUNDRE,AB,exact,51.78,-114.6800145976609,5619.0,-30.7,28.0,17.8
"SIOUX LOOKOUT,ONTARIO",494,ON,SIOUX LOOKOUT,ON,exact,50.11,-91.91000817992587,5803.0,-31.9,28.5,21.4
"GANDER INTL,NEWFOUNDLAND AND LABRADOR",490,,GANDER INTL,NL,exact,48.94,-54.56999513216569,4861.0,-16.2,26.8,20.7
"CORNER BROOK,NEWFOUNDLAND AND LABRADOR",484,,CORNER BROOK,NL,exact,48.93,-57.9199963393264,4858.0,-15.8,26.2,20.7
"BADGER,NEWFOUNDLAND AND LABRADOR",453,,BADGER,NL,exact,48.97,-56.06999567234948,5201.0,-23.3,28.5,21.3
"GORE BAY CLIMATE,ONTARIO",450,ON,GORE BAY CLIMATE,ON,exact,45.88,-82.5700046217166,4448.0,-24.0,27.5,22.2
"AGASSIZ,BRITISH COLUMBIA",428,BC,AGASSIZ,BC,exact,49.24,-121.7600152137766,2764.0,-7.6,29.7,21.6
"GORE BAY,ONTARIO",404,ON,GORE BAY CLIMATE,ON,prefix,45.88,-82.5700046217166,4448.0,-24.0,27.5,22.2
"CAP-D'ESPOIR,QUEBEC",397,QC,CAP-D'ESPOIR,QC,exact,48.42,-64.31999861998929,5225.0,-21.1,20.8,19.0
"CROWSNEST,ALBERTA",396,AB,CROWSNEST,AB,exact,49.63,-114.48001395555262,5124.0,-27.7,28.9,17.7
"THE PAS,MANITOBA",382,MB,THE PAS,MB,exact,53.97,-101.09001183937896,6327.0,-32.9,28.2,20.9
"LLOYDMINSTER,ALBERTA",380,AB,LLOYDMINSTER,AB,exact,53.31,-110.07001402391849,5767.0,-31.0,27.4,19.8
"LA GRANDE RIVIERE,QUEBEC",371,QC,MATAGAMI,QC,"proxy:regional, James Bay",49.76,-77.80000348897627,6385.0,-34.1,27.7,20.5
"BONAVISTA,NEWFOUNDLAND",364,,BONAVISTA,NL,exact,48.67,-53.1099946083775,4649.0,-12.0,24.3,20.0
"BOW ISLAND,ALBERTA",359,AB,BOW ISLAND,AB,exact,49.73,-111.45001333027746,4537.0,-27.1,31.6,20.8
"CRESTON CAMPBELL SCIENTIFIC,BRITISH COLUMBIA",354,BC,CRESTON CAMPBELL SCIENTIFIC,BC,exact,49.08,-116.50001422112742,3576.0,-13.2,33.0,21.4
"ROCKY MTN HOUSE,ALBERTA",339,AB,ROCKY MTN HOUSE,AB,exact,52.42,-114.9100148430431,5819.0,-29.9,26.8,18.2
"GRAND ETANG,NOVA SCOTIA",338,NS,GRAND ETANG,NS,exact,46.55,-61.04999738833335,3983.0,-13.1,26.3,22.6
"PEMBERTON AIRPORT,BRITISH COLUMBIA",326,BC,PEMBERTON AIRPORT,BC,exact,50.31,-122.73001567181707,3624.0,-14.7,33.7,20.6
"DEER LAKE,NEWFOUNDLAND",320,,DEER LAKE,NL,exact,49.21,-57.389996152303546,5004.0,-19.2,27.1,20.6
"WHISTLER - NESTERS,BRITISH COLUMBIA",314,BC,WHISTLER - NESTERS,BC,exact,50.13,-122.95001565543555,4178.0,-15.8,30.4,17.6
"CHAMOUCHOUANE,QUEBEC",313,QC,CHAMOUCHOUANE,QC,exact,49.28,-73.36000188930866,6296.0,-37.3,27.6,21.4
"PORTAGE SOUTHPORT,MANITOBA",310,MB,PORTAGE SOUTHPORT,MB,exact,49.9,-98.28001002333912,5360.0,-29.0,29.5,23.8
"EDSON CLIMATE,ALBERTA",304,AB,EDSON CLIMATE,AB,exact,53.58,-116.4500155491205,5567.0,-29.9,27.2,18.1
"LA BAIE,QUEBEC",284,QC,LA BAIE,QC,exact,48.3,-70.92000094705575,5625.0,-30.7,27.8,21.4
"PINAWA,MANITOBA",275,MB,PINAWA,MB,exact,50.18,-96.0600094417886,5643.0,-32.6,29.0,22.4
"DRUMHELLER EAST,ALBERTA",273,AB,DRUMHELLER EAST,AB,exact,51.45,-112.68001406640329,5031.0,-29.8,31.7,19.6
"SLAVE LAKE,ALBERTA",272,AB,SLAVE LAKE,AB,exact,55.29,-114.78001581354815,5741.0,-30.6,26.1,19.0
"CARDSTON,ALBERTA",262,AB,CARDSTON,AB,exact,49.2,-113.29001359826486,4502.0,-26.0,30.9,19.0
"GRETNA,MANITOBA",261,MB,GRETNA,MB,exact,49.03,-97.5600096418601,5367.0,-29.9,29.7,23.9
"FORT SMITH,N.W.T.",261,NT,FORT SMITH,NT,name-only,60.02,-111.96001726933967,7037.0,-36.7,27.8,18.6
"VEGREVILLE,ALBERTA",261,AB,VEGREVILLE,AB,exact,53.51,-112.10001456974133,5716.0,-31.9,28.2,19.7
"BOW VALLEY,ALBERTA",245,AB,BOW VALLEY,AB,exact,51.08,-115.07001447373234,5121.0,-28.6,29.1,17.1
"ESTEVAN POINT,BRITISH COLUMBIA",241,BC,ESTEVAN POINT,BC,exact,49.38,-126.54001598342545,3054.0,-1.3,18.5,16.8
"SANDSPIT,BRITISH COLUMBIA",233,BC,SANDSPIT,BC,exact,53.25,-131.81001790465314,3391.0,-1.8,19.5,16.1
"INUVIK,N.W.T.",231,NT,INUVIK,NT,name-only,68.3,-133.48002886650977,9003.0,-38.3,25.3,17.4
"BROOKS,ALBERTA",230,AB,BROOKS,AB,exact,50.56,-111.85001363518838,4864.0,-28.8,31.7,20.1
"TOFINO,BRITISH COLUMBIA",228,BC,ESTEVAN POINT,BC,"proxy:~50 km, outer coast",49.38,-126.54001598342545,3054.0,-1.3,18.5,16.8
"CATHEDRAL POINT,BRITISH COLUMBIA",221,BC,CATHEDRAL POINT,BC,exact,52.19,-127.47001698003041,3413.0,-7.1,23.1,18.0
"SPIRITWOOD WEST,SASKATCHEWAN",215,SK,SPIRITWOOD WEST,SK,exact,53.37,-107.55001341679299,6002.0,-32.5,27.3,21.3
"BONAVISTA,NEWFOUNDLAND AND LABRADOR",209,,BONAVISTA,NL,exact,48.67,-53.1099946083775,4649.0,-12.0,24.3,20.0
"PRINCETON,BRITISH COLUMBIA",205,BC,PRINCETON,BC,exact,49.47,-120.51001506317502,4325.0,-21.6,33.0,19.3
"MELFORT,SASKATCHEWAN",199,SK,MELFORT,SK,exact,52.82,-104.60001248336589,6020.0,-32.2,27.4,21.8
"EMERSON,MANITOBA",188,MB,EMERSON,MB,exact,49.01,-97.24000954808184,5332.0,-30.6,29.9,23.8
"POINT ATKINSON,BRITISH COLUMBIA",187,BC,POINT ATKINSON,BC,exact,49.33,-123.26001548252724,2365.0,-0.7,24.5,21.6
"PILOT MOUND,MANITOBA",186,MB,PILOT MOUND,MB,exact,49.19,-98.90001004997164,5672.0,-30.9,28.3,23.6
"NAKUSP,BRITISH COLUMBIA",184,BC,NAKUSP,BC,exact,50.27,-117.82001479255372,3719.0,-12.3,31.6,20.3
"QUÃ BEC INTL,QUEBEC",181,QC,QUÉBEC INTL,QC,alias:encoding-corrupt,46.8,-71.38000099180711,4838.0,-25.7,28.4,22.7
"PINCHER CREEK,ALBERTA",173,AB,PINCHER CREEK,AB,exact,49.52,-114.00001382768507,4726.0,-27.3,29.5,17.9
"MONTRÃ AL-ST-HUBERT,QUEBEC",170,QC,MONTRÉAL-ST-HUBERT,QC,alias:encoding-corrupt,45.52,-73.42000158714774,4275.0,-23.2,29.6,23.5
"KILLARNEY,ONTARIO",166,ON,KILLARNEY ,ON,exact,45.97,-81.48000428311262,4486.0,-23.5,25.6,21.3
"CARBERRY,MANITOBA",164,MB,CARBERRY,MB,exact,49.91,-99.36001032964411,5716.0,-32.4,29.3,23.7
"WAINWRIGHT,ALBERTA",162,AB,WAINWRIGHT,AB,exact,52.83,-111.1000141191533,5474.0,-31.3,29.6,19.4
"YOHO PARK,BRITISH COLUMBIA",162,BC,YOHO PARK,BC,exact,51.44,-116.36001484263824,6427.0,-28.1,25.6,14.8
"GIMLI CLIMATE,MANITOBA",160,MB,GIMLI CLIMATE,MB,exact,50.63,-97.0500098259858,5800.0,-32.2,28.5,22.8
"CARTWRIGHT,NEWFOUNDLAND AND LABRADOR",155,,CARTWRIGHT,NL,exact,53.68,-57.03999608880308,6296.0,-26.0,24.5,18.2
"MONTRÃ AL INTL,QUEBEC",154,QC,MONTRÉAL INTL,QC,alias:encoding-corrupt,45.47,-73.7400016901359,4167.0,-23.1,29.7,23.4
"MATAGAMI,QUEBEC",153,QC,MATAGAMI,QC,exact,49.76,-77.80000348897627,6385.0,-34.1,27.7,20.5
"HAINES JUNCTION,YUKON",150,YK,HAINES JUNCTION,YT,exact,60.77,-137.58002228799413,7196.0,-38.4,23.4,14.2
"THOMPSON,MANITOBA",144,MB,THOMPSON,MB,exact,55.8,-97.86001142008192,7445.0,-37.3,27.7,19.6
"DAWSON CREEK,BRITISH COLUMBIA",141,BC,DAWSON CREEK,BC,exact,55.74,-120.18001712020677,5666.0,-33.3,27.1,17.7
"JASPER WARDEN,ALBERTA",141,AB,JASPER WARDEN,AB,exact,52.93,-118.03001564735679,5357.0,-29.1,29.6,15.6
"DEER LAKE,NEWFOUNDLAND AND LABRADOR",140,,DEER LAKE,NL,exact,49.21,-57.389996152303546,5004.0,-19.2,27.1,20.6
"LILLOOET,BRITISH COLUMBIA",139,BC,LILLOOET,BC,exact,50.68,-121.9300156479166,3241.0,-16.5,35.5,25.5
"GREY ISLET,BRITISH COLUMBIA",138,BC,GREY ISLET,BC,exact,54.58,-130.7000182959463,3542.0,-5.2,18.0,15.7
"CARMAN U OF M,MANITOBA",138,MB,CARMAN U OF M,MB,exact,49.5,-98.03000986903935,5451.0,-30.3,29.5,24.5
"INDIAN HEAD,SASKATCHEWAN",136,SK,INDIAN HEAD,SK,exact,50.55,-103.65001163742913,5759.0,-31.8,28.5,22.3
"MONTRÃ AL MIRABEL  INTL,QUEBEC",135,QC,MONTRÉAL MIRABEL  INTL,QC,alias:encoding-corrupt,45.68,-74.03000180329269,4569.0,-25.9,29.2,23.2
"SEPT-ÎLES,QUEBEC",132,QC,SEPT-ÎLES,QC,exact,50.22,-66.26999942428506,5924.0,-27.6,22.7,18.0
"MISCOU ISLAND,NEW BRUNSWICK",131,NB,MISCOU ISLAND,NB,exact,48.01,-64.48999865948686,4845.0,-19.6,25.8,21.1
"JONQUIÃ RE,QUEBEC",129,QC,JONQUIÈRE,QC,alias:encoding-corrupt,48.43,-71.14000103587153,5343.0,-28.9,27.8,21.5
"BIG TROUT LAKE,ONTARIO",128,ON,BIG TROUT LAKE ,ON,exact,53.82,-89.90000830586933,7150.0,-36.2,26.7,20.2
"WABUSH,NEWFOUNDLAND AND LABRADOR",124,QC,WABUSH,NL,exact,52.92,-66.85999983456216,7414.0,-34.8,24.5,17.0
"PORTAGE LA PRAIRIE,MANITOBA",124,MB,PORTAGE SOUTHPORT,MB,alias:same location,49.9,-98.28001002333912,5360.0,-29.0,29.5,23.8
"L'ÉTAPE,QUEBEC",123,QC,L'ÉTAPE,QC,exact,47.56,-71.2300009974805,6527.0,-32.8,23.7,18.9
"MAYO,YUKON",118,YK,MAYO,YT,exact,63.62,-135.87002427356455,7303.0,-47.5,25.5,16.1
"STEPHENVILLE,NEWFOUNDLAND AND LABRADOR",117,,STEPHENVILLE,NL,exact,48.53,-58.54999655681975,4556.0,-13.9,23.3,19.4
"WYNYARD,SASKATCHEWAN",111,SK,WYNYARD,SK,exact,51.77,-104.20001208893075,5817.0,-31.5,28.4,20.9
"LAC LA BICHE CLIMATE,ALBERTA",110,AB,LAC LA BICHE CLIMATE,AB,exact,54.77,-112.0200149848726,5710.0,-32.0,27.4,19.2
"DAWSON CITY,YUKON",110,YK,DAWSON,YT,alias:same station,64.06,-139.13002495295243,7917.0,-48.0,25.8,15.8
"DAWSON,YUKON",108,YK,DAWSON,YT,exact,64.06,-139.13002495295243,7917.0,-48.0,25.8,15.8
"BARRAGE TEMISCAMINGUE,QUEBEC",104,QC,BARRAGE TEMISCAMINGUE,QC,exact,46.71,-79.10000358623957,4820.0,-26.5,29.1,21.9
"FORT NELSON,BRITISH COLUMBIA",104,BC,FORT NELSON,BC,exact,58.84,-122.60001904935125,6572.0,-36.2,27.9,18.4
"INUVIK,NORTHWEST TERRITORIES",101,NT,INUVIK,NT,exact,68.3,-133.48002886650977,9003.0,-38.3,25.3,17.4
"HIGH LEVEL,ALBERTA",101,AB,HIGH LEVEL,AB,exact,58.62,-117.17001781498394,6651.0,-36.0,27.2,19.0
"FISHER BRANCH,MANITOBA",96,MB,FISHER BRANCH,MB,exact,51.08,-97.55001007055766,5894.0,-32.0,29.0,22.3
"MOOSONEE,ONTARIO",89,ON,MOOSONEE,ON,exact,51.29,-80.61000466571156,6572.0,-33.8,28.2,21.6
"TWILLINGATE,NEWFOUNDLAND AND LABRADOR",88,,TWILLINGATE,NL,exact,49.68,-54.79999521781429,4986.0,-14.2,24.9,19.5
"NORMAN WELLS,N.W.T.",85,NT,NORMAN WELLS,NT,name-only,65.28,-126.80002442731468,8231.0,-42.1,26.8,18.0
"BURNS LAKE,BRITISH COLUMBIA",84,BC,BURNS LAKE,BC,exact,54.38,-125.96001756463272,5701.0,-29.3,27.4,17.3
"VICTORIA BEACH,MANITOBA",83,MB,VICTORIA BEACH,MB,exact,50.7,-96.57000970062765,5459.0,-30.3,28.2,23.5
"YELLOWKNIFE,NORTHWEST TERRITORY",82,NT,YELLOWKNIFE,NT,name-only,62.46,-114.44001936965242,7856.0,-39.2,25.7,17.5
"WATROUS EAST,SASKATCHEWAN",82,SK,WATROUS EAST,SK,exact,51.67,-105.4000123774781,5792.0,-31.4,28.6,21.9
"VAUXHALL,ALBERTA",81,AB,VAUXHALL,AB,exact,50.05,-112.13001356390357,4597.0,-28.3,31.6,20.8
"WEYBURN,SASKATCHEWAN",79,SK,WEYBURN,SK,exact,49.7,-103.8000114775097,5385.0,-31.3,31.2,22.6
"POINTE DE L'ISLET,QUEBEC",78,QC,POINTE DE L'ISLET,QC,exact,48.14,-69.72000051506855,5014.0,-22.6,24.0,19.6
"LA RONGE,SASKATCHEWAN",76,SK,LA RONGE,SK,exact,55.15,-105.27001338853856,6389.0,-35.1,27.8,19.5
"ROSETOWN EAST,SASKATCHEWAN",75,SK,ROSETOWN EAST,SK,exact,51.57,-107.92001298706553,5625.0,-32.0,30.1,20.9
"PUNTZI MOUNTAIN,BRITISH COLUMBIA",75,BC,PUNTZI MOUNTAIN,BC,exact,52.11,-124.14001645751783,5572.0,-32.1,29.5,16.4
"ASSINIBOIA AIRPORT,SASKATCHEWAN",74,SK,ASSINIBOIA AIRPORT,SK,exact,49.73,-105.9500120307111,5147.0,-29.5,31.5,20.9
"BLUE RIVER,BRITISH COLUMBIA",73,BC,BLUE RIVER,BC,exact,52.13,-119.2900156266328,4860.0,-26.5,31.1,17.9
"HAY RIVER,NORTHWEST TERRITORIES",71,NT,HAY RIVER,NT,exact,60.84,-115.78001870016837,7284.0,-35.0,26.8,18.6
"LOURDES DE BLANC SABLON,QUEBEC",70,QC,LOURDES DE BLANC SABLON,QC,exact,51.44,-57.1899961145768,6045.0,-24.4,18.8,16.2
"FORT SMITH,NORTHWEST TERRITORIES",70,NT,FORT SMITH,NT,exact,60.02,-111.96001726933967,7037.0,-36.7,27.8,18.6
"IQALUIT,NUNAVUT",69,NU,IQALUIT,NU,exact,63.76,-68.56000186524278,9483.0,-35.8,18.8,13.1
"WASAGAMING,MANITOBA",67,MB,WASAGAMING,MB,exact,50.66,-99.94001065671023,6294.0,-34.4,27.6,21.0
"LONGUE-POINTE-DE-MINGAN,QUEBEC",67,QC,LONGUE-POINTE-DE-MINGAN,QC,exact,50.27,-64.22999868128815,5987.0,-26.6,21.2,18.1
"SHOAL LAKE,MANITOBA",67,MB,SHOAL LAKE,MB,exact,50.45,-100.6000107918514,6006.0,-32.8,27.7,22.5
"CORONATION CLIMATE,ALBERTA",67,AB,CORONATION CLIMATE,AB,exact,52.07,-111.4500139705973,5733.0,-31.4,29.9,18.5
"LAST MOUNTAIN,SASKATCHEWAN",63,SK,LAST MOUNTAIN,SK,exact,51.42,-105.2500122722385,5761.0,-32.4,29.2,21.7
"CAP-ROUGE,QUEBEC",63,QC,CAP-ROUGE,QC,exact,48.37,-70.54000082045164,5148.0,-26.9,26.5,20.7
"MELITA,MANITOBA",61,MB,MELITA,MB,exact,49.28,-100.99001064136526,5428.0,-31.3,29.8,23.2
"LYTTON,BRITISH COLUMBIA",61,BC,LYTTON,BC,exact,50.22,-121.58001545526852,3147.0,-15.3,35.2,19.5
"DAWSON,YUKON TERRITORY",60,YK,DAWSON,YT,exact,64.06,-139.13002495295243,7917.0,-48.0,25.8,15.8
"ROSE SPIT,BRITISH COLUMBIA",57,BC,ROSE SPIT,BC,exact,54.16,-131.6600182402638,3571.0,-2.6,16.4,15.3
"MILK RIVER,ALBERTA",56,AB,MILK RIVER,AB,exact,49.13,-112.05001331474766,4732.0,-27.1,31.9,18.2
"OAKPOINT MARINE,MANITOBA",55,MB,OAKPOINT MARINE,MB,exact,50.5,-98.04001008328382,5748.0,-30.9,27.8,23.6
"ROBLIN,MANITOBA",53,MB,ROBLIN,MB,exact,51.18,-101.36001117291218,6033.0,-33.3,27.7,22.0
"NIPAWIN,SASKATCHEWAN",52,SK,NIPAWIN,SK,exact,53.33,-104.00001246973576,6194.0,-34.5,27.7,20.8
"CARMACKS,YUKON",50,YK,CARMACKS,YT,exact,62.12,-136.19002311513094,7396.0,-43.5,25.8,17.4
"SWIFT CURRENT CDA,SASKATCHEWAN",49,SK,SWIFT CURRENT CDA,SK,exact,50.27,-107.7300126003188,5124.0,-29.2,30.5,20.5
"FARO,YUKON",48,YK,FARO,YT,exact,62.21,-133.38002287319196,7227.0,-42.5,24.1,15.3
"SCHEFFERVILLE,QUEBEC",48,QC,SCHEFFERVILLE,QC,exact,54.81,-66.8099999693253,7926.0,-35.4,23.4,16.6
"CHEVERY,QUEBEC",47,QC,CHEVERY,QC,exact,50.47,-59.63999700267352,6002.0,-26.5,19.6,16.5
"CORONATION,ALBERTA",46,AB,CORONATION CLIMATE,AB,prefix,52.07,-111.4500139705973,5733.0,-31.4,29.9,18.5
"DANIELS HARBOUR,NEWFOUNDLAND AND LABRADOR",44,,DANIELS HARBOUR,NL,exact,50.24,-57.57999623855485,5100.0,-18.1,21.2,18.6
"CARTWRIGHT,NEWFOUNDLAND",44,,CARTWRIGHT,NL,exact,53.68,-57.03999608880308,6296.0,-26.0,24.5,18.2
